"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm1","qm","1","1","frc1007","frc1057","frc1611","0","","frc1261","frc1398","frc1415","12",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm2","qm","1","2","frc1319","frc1648","frc519","32","","frc1304","frc1588","frc34","15",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm3","qm","1","3","frc1180","frc1683","frc462","9","","frc1167","frc1376","frc1414","39",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm4","qm","1","4","frc1029","frc1589","frc538","0","","frc1183","frc1379","frc1550","28",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm5","qm","1","5","frc1040","frc1612","frc281","9","","frc1127","frc1336","frc1534","18",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm6","qm","1","6","frc1311","frc1407","frc1436","13","","frc1139","frc1371","frc590","7",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm7","qm","1","7","frc1345","frc1440","frc801","25","","frc1390","frc1539","frc832","29",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm8","qm","1","8","frc1002","frc1102","frc1284","7","","frc1263","frc1553","frc1597","4",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm9","qm","1","9","frc1319","frc1414","frc1611","26","","frc1550","frc281","frc590","2",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm10","qm","1","10","frc1007","frc1648","frc801","9","","frc1376","frc1534","frc538","53",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm11","qm","1","11","frc1284","frc1390","frc1407","6","","frc1304","frc1398","frc1683","0",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm12","qm","1","12","frc1002","frc1379","frc1612","4","","frc1415","frc1436","frc1440","2",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm13","qm","1","13","frc1102","frc462","frc519","25","","frc1029","frc1127","frc1371","21",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm14","qm","1","14","frc1057","frc1345","frc1553","29","","frc1180","frc1589","frc34","10",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm15","qm","1","15","frc1040","frc1311","frc1539","22","","frc1261","frc1588","frc1597","20",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm16","qm","1","16","frc1167","frc1183","frc1336","31","","frc1139","frc1263","frc832","12",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm17","qm","1","17","frc1007","frc1407","frc1414","22","","frc1102","frc1379","frc34","0",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm18","qm","1","18","frc1040","frc1611","frc801","9","","frc1029","frc1284","frc1436","21",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm19","qm","1","19","frc1336","frc1345","frc1588","3","","frc1376","frc1398","frc590","20",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm20","qm","1","20","frc1127","frc1167","frc1440","16","","frc1319","frc1589","frc1597","9",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm21","qm","1","21","frc1304","frc1534","frc832","19","","frc1002","frc1057","frc1371","25",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm22","qm","1","22","frc1183","frc1311","frc1683","32","","frc1415","frc1648","frc281","13",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm23","qm","1","23","frc1539","frc1553","frc462","8","","frc1139","frc1550","frc1612","9",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm24","qm","1","24","frc1390","frc519","frc538","51","","frc1180","frc1261","frc1263","12",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm25","qm","1","25","frc1029","frc1336","frc34","4","","frc1414","frc1415","frc1597","12",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm26","qm","1","26","frc1139","frc1304","frc801","18","","frc1127","frc1379","frc590","26",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm27","qm","1","27","frc1057","frc1376","frc1390","20","","frc1102","frc1311","frc1612","1",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm28","qm","1","28","frc1180","frc1611","frc832","4","","frc1407","frc1589","frc1648","9",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm29","qm","1","29","frc1263","frc1398","frc1539","20","","frc1319","frc1436","frc1534","23",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm30","qm","1","30","frc1183","frc1261","frc462","10","","frc1002","frc1284","frc1345","8",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm31","qm","1","31","frc1167","frc281","frc519","16","","frc1007","frc1040","frc1553","45",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm32","qm","1","32","frc1440","frc1550","frc1588","9","","frc1371","frc1683","frc538","6",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm33","qm","1","33","frc1139","frc1414","frc1589","23","","frc1284","frc1415","frc1534","9",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm34","qm","1","34","frc1040","frc1390","frc590","44","","frc1057","frc1648","frc462","21",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm35","qm","1","35","frc1597","frc538","frc832","0","","frc1398","frc1612","frc519","21",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm36","qm","1","36","frc1167","frc1379","frc1588","59","","frc1102","frc1345","frc1611","1",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm37","qm","1","37","frc1436","frc1683","frc34","26","","frc1127","frc1261","frc1550","20",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm38","qm","1","38","frc1263","frc1311","frc801","19","","frc1002","frc1407","frc281","31",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm39","qm","1","39","frc1029","frc1376","frc1539","25","","frc1304","frc1440","frc1553","25",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm40","qm","1","40","frc1180","frc1319","frc1336","0","","frc1007","frc1183","frc1371","29",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm41","qm","1","41","frc1311","frc1414","frc538","7","","frc1002","frc1127","frc1345","48",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm42","qm","1","42","frc1057","frc1539","frc1683","3","","frc1284","frc1379","frc519","33",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm43","qm","1","43","frc1336","frc1436","frc1589","20","","frc1304","frc281","frc462","13",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm44","qm","1","44","frc1007","frc1139","frc1597","30","","frc1390","frc1588","frc1611","11",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm45","qm","1","45","frc1029","frc1263","frc1648","26","","frc1167","frc1371","frc1612","53",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm46","qm","1","46","frc1398","frc34","frc801","9","","frc1040","frc1183","frc1440","35",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm47","qm","1","47","frc1180","frc1534","frc590","9","","frc1102","frc1415","frc1550","18",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm48","qm","1","48","frc1261","frc1553","frc832","19","","frc1319","frc1376","frc1407","40",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm49","qm","1","49","frc1002","frc1588","frc1589","13","","frc1007","frc1539","frc1683","1",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm50","qm","1","50","frc1102","frc281","frc538","10","","frc1057","frc1139","frc34","51",""
"2005ga","Peachtree","2005-03-03","2005-03-05","2005ga_qm51","qm","1","51","frc1167","frc1415","frc801","3","","frc1407","frc1550","frc519","12",""
