"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm1","qm","1","1","frc1277","frc157","","35","","frc138","frc97","","60",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm2","qm","1","2","frc140","frc885","","35","","frc166","frc529","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm3","qm","1","3","frc1152","frc467","","25","","frc176","frc811","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm4","qm","1","4","frc1073","frc134","","85","","frc1350","frc501","","150",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm5","qm","1","5","frc1058","frc155","","20","","frc213","frc40","","75",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm6","qm","1","6","frc42","frc69","","120","","frc1289","frc549","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm7","qm","1","7","frc1474","frc151","","35","","frc1153","frc95","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm8","qm","1","8","frc121","frc350","","25","","frc238","frc663","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm9","qm","1","9","frc125","frc229","","5","","frc175","frc241","","50",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm10","qm","1","10","frc1335","frc58","","40","","frc1276","frc319","","60",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm11","qm","1","11","frc1307","frc131","","65","","frc172","frc246","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm12","qm","1","12","frc1247","frc562","","20","","frc126","frc839","","50",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm13","qm","1","13","frc133","frc97","","15","","frc190","frc296","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm14","qm","1","14","frc157","frc885","","30","","frc1277","frc140","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm15","qm","1","15","frc138","frc166","","50","","frc1152","frc529","","10",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm16","qm","1","16","frc1350","frc811","","35","","frc176","frc501","","150",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm17","qm","1","17","frc1073","frc213","","110","","frc134","frc467","","60",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm18","qm","1","18","frc549","frc69","","100","","frc155","frc40","","60",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm19","qm","1","19","frc1289","frc42","","45","","frc1058","frc151","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm20","qm","1","20","frc121","frc238","","120","","frc1153","frc1474","","60",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm21","qm","1","21","frc241","frc95","","45","","frc350","frc663","","0",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm22","qm","1","22","frc1335","frc229","","25","","frc125","frc58","","20",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm23","qm","1","23","frc1276","frc175","","60","","frc131","frc319","","130",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm24","qm","1","24","frc1247","frc839","","15","","frc1307","frc246","","55",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm25","qm","1","25","frc126","frc562","","140","","frc133","frc172","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm26","qm","1","26","frc1152","frc190","","15","","frc140","frc296","","10",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm27","qm","1","27","frc501","frc529","","85","","frc1277","frc97","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm28","qm","1","28","frc138","frc157","","130","","frc166","frc885","","70",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm29","qm","1","29","frc176","frc213","","90","","frc1073","frc69","","95",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm30","qm","1","30","frc467","frc811","","40","","frc134","frc1350","","75",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm31","qm","1","31","frc1058","frc1289","","80","","frc155","frc549","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm32","qm","1","32","frc121","frc40","","80","","frc151","frc42","","70",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm33","qm","1","33","frc131","frc350","","35","","frc1474","frc229","","15",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm34","qm","1","34","frc663","frc95","","75","","frc1153","frc238","","20",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm35","qm","1","35","frc319","frc58","","50","","frc125","frc241","","70",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm36","qm","1","36","frc175","frc839","","15","","frc1276","frc1335","","70",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm37","qm","1","37","frc126","frc246","","35","","frc1307","frc190","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm38","qm","1","38","frc172","frc562","","25","","frc1247","frc133","","15",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm39","qm","1","39","frc1152","frc296","","20","","frc157","frc529","","75",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm40","qm","1","40","frc1277","frc166","","35","","frc1073","frc811","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm41","qm","1","41","frc1307","frc97","","30","","frc69","frc885","","45",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm42","qm","1","42","frc140","frc246","","20","","frc133","frc562","","50",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm43","qm","1","43","frc1289","frc176","","80","","frc138","frc501","","85",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm44","qm","1","44","frc151","frc467","","45","","frc1058","frc131","","90",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm45","qm","1","45","frc1350","frc213","","30","","frc121","frc549","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm46","qm","1","46","frc134","frc40","","145","","frc229","frc350","","105",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm47","qm","1","47","frc1474","frc663","","20","","frc155","frc42","","55",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm48","qm","1","48","frc125","frc190","","15","","frc1276","frc238","","45",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm49","qm","1","49","frc241","frc319","","35","","frc839","frc95","","75",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm50","qm","1","50","frc1153","frc175","","100","","frc126","frc58","","90",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm51","qm","1","51","frc1247","frc172","","35","","frc1335","frc296","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm52","qm","1","52","frc133","frc811","","100","","frc1307","frc157","","80",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm53","qm","1","53","frc529","frc69","","100","","frc246","frc562","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm54","qm","1","54","frc1152","frc176","","45","","frc1277","frc1289","","75",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm55","qm","1","55","frc1073","frc501","","145","","frc151","frc885","","45",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm56","qm","1","56","frc138","frc140","","40","","frc467","frc97","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm57","qm","1","57","frc131","frc1350","","125","","frc1058","frc166","","60",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm58","qm","1","58","frc1276","frc350","","20","","frc213","frc549","","130",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm59","qm","1","59","frc229","frc40","","30","","frc121","frc1474","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm60","qm","1","60","frc125","frc155","","10","","frc134","frc42","","115",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm61","qm","1","61","frc190","frc238","","80","","frc319","frc839","","15",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm62","qm","1","62","frc175","frc58","","150","","frc1247","frc95","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm63","qm","1","63","frc1335","frc241","","25","","frc126","frc663","","130",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm64","qm","1","64","frc1153","frc246","","10","","frc172","frc296","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm65","qm","1","65","frc1307","frc811","","55","","frc1289","frc562","","130",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm66","qm","1","66","frc151","frc529","","40","","frc133","frc157","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm67","qm","1","67","frc241","frc663","","35","","frc176","frc69","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm68","qm","1","68","frc131","frc467","","75","","frc1152","frc1277","","10",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm69","qm","1","69","frc885","frc97","","15","","frc1276","frc1350","","10",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm70","qm","1","70","frc138","frc229","","45","","frc1073","frc140","","45",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm71","qm","1","71","frc1058","frc501","","20","","frc166","frc350","","15",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm72","qm","1","72","frc134","frc549","","130","","frc1474","frc190","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm73","qm","1","73","frc40","frc839","","80","","frc125","frc213","","20",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm74","qm","1","74","frc126","frc238","","40","","frc42","frc58","","120",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm75","qm","1","75","frc1247","frc155","","25","","frc121","frc319","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm76","qm","1","76","frc296","frc95","","55","","frc1335","frc175","","70",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm77","qm","1","77","frc1153","frc1289","","30","","frc172","frc241","","35",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm78","qm","1","78","frc151","frc663","","40","","frc1307","frc562","","95",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm79","qm","1","79","frc1276","frc176","","140","","frc133","frc246","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm80","qm","1","80","frc529","frc811","","35","","frc175","frc95","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm81","qm","1","81","frc1277","frc69","","135","","frc1153","frc172","","80",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm82","qm","1","82","frc501","frc885","","105","","frc229","frc467","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm83","qm","1","83","frc1350","frc190","","65","","frc131","frc138","","120",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm84","qm","1","84","frc1058","frc839","","80","","frc1073","frc157","","135",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm85","qm","1","85","frc125","frc97","","20","","frc1152","frc350","","40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm86","qm","1","86","frc140","frc1474","","35","","frc126","frc213","","120",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm87","qm","1","87","frc166","frc549","","60","","frc134","frc238","","25",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm88","qm","1","88","frc1247","frc319","","10","","frc40","frc42","","65",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm89","qm","1","89","frc155","frc58","","30","","frc121","frc1335","","65",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm90","qm","1","90","frc1307","frc151","","80","","frc241","frc296","","20",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm91","qm","1","91","frc1289","frc172","","80","","frc175","frc663","","30",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm92","qm","1","92","frc1276","frc95","","50","","frc562","frc69","","95",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm93","qm","1","93","frc133","frc501","","100","","frc1153","frc1335","","70",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm94","qm","1","94","frc121","frc155","","50","","frc246","frc811","","20",""
