"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm1","qm","1","1","frc212","frc61","","40","","frc588","frc79","","19",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm2","qm","1","2","frc278","frc415","","10","","frc311","frc832","","31",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm3","qm","1","3","frc86","frc946","","36","","frc780","frc945","","47",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm4","qm","1","4","frc386","frc804","","42","","frc393","frc411","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm5","qm","1","5","frc547","frc654","","24","","frc395","frc538","","10",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm6","qm","1","6","frc179","frc710","","49","","frc866","frc947","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm7","qm","1","7","frc459","frc665","","20","","frc180","frc59","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm8","qm","1","8","frc105","frc267","","42","","frc147","frc582","","17",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm9","qm","1","9","frc21","frc233","","40","","frc312","frc801","","23",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm10","qm","1","10","frc108","frc186","","30","","frc408","frc685","","29",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm11","qm","1","11","frc690","frc901","","34","","frc342","frc343","","36",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm12","qm","1","12","frc212","frc507","","10","","frc168","frc57","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm13","qm","1","13","frc415","frc780","","23","","frc411","frc61","","38",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm14","qm","1","14","frc393","frc86","","22","","frc278","frc395","","43",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm15","qm","1","15","frc538","frc804","","40","","frc866","frc946","","13",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm16","qm","1","16","frc547","frc947","","20","","frc180","frc386","","47",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm17","qm","1","17","frc59","frc710","","39","","frc582","frc654","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm18","qm","1","18","frc147","frc459","","41","","frc179","frc801","","10",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm19","qm","1","19","frc105","frc312","","24","","frc665","frc685","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm20","qm","1","20","frc21","frc408","","31","","frc267","frc342","","42",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm21","qm","1","21","frc108","frc343","","30","","frc168","frc233","","33",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm22","qm","1","22","frc57","frc690","","11","","frc186","frc588","","28",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm23","qm","1","23","frc507","frc79","","30","","frc832","frc901","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm24","qm","1","24","frc311","frc393","","27","","frc415","frc945","","38",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm25","qm","1","25","frc180","frc538","","22","","frc61","frc86","","11",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm26","qm","1","26","frc582","frc947","","23","","frc278","frc804","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm27","qm","1","27","frc59","frc801","","10","","frc547","frc946","","35",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm28","qm","1","28","frc147","frc685","","58","","frc386","frc710","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm29","qm","1","29","frc312","frc342","","40","","frc459","frc654","","36",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm30","qm","1","30","frc168","frc408","","24","","frc105","frc179","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm31","qm","1","31","frc343","frc588","","30","","frc21","frc665","","43",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm32","qm","1","32","frc57","frc832","","26","","frc108","frc267","","10",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm33","qm","1","33","frc79","frc945","","37","","frc233","frc690","","45",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm34","qm","1","34","frc311","frc411","","35","","frc186","frc507","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm35","qm","1","35","frc395","frc780","","41","","frc212","frc901","","0",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm36","qm","1","36","frc801","frc866","","23","","frc86","frc947","","48",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm37","qm","1","37","frc61","frc685","","37","","frc59","frc804","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm38","qm","1","38","frc278","frc342","","32","","frc147","frc547","","21",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm39","qm","1","39","frc168","frc946","","22","","frc312","frc710","","40",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm40","qm","1","40","frc386","frc588","","39","","frc408","frc459","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm41","qm","1","41","frc654","frc832","","22","","frc105","frc343","","31",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm42","qm","1","42","frc179","frc945","","38","","frc21","frc57","","26",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm43","qm","1","43","frc411","frc665","","38","","frc108","frc79","","34",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm44","qm","1","44","frc267","frc395","","45","","frc311","frc690","","20",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm45","qm","1","45","frc233","frc866","","32","","frc507","frc780","","31",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm46","qm","1","46","frc180","frc186","","33","","frc212","frc393","","22",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm47","qm","1","47","frc582","frc901","","24","","frc415","frc538","","30",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm48","qm","1","48","frc547","frc61","","20","","frc312","frc588","","0",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm49","qm","1","49","frc278","frc710","","39","","frc408","frc832","","31",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm50","qm","1","50","frc459","frc946","","35","","frc343","frc945","","38",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm51","qm","1","51","frc105","frc386","","10","","frc411","frc57","","43",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm52","qm","1","52","frc21","frc654","","42","","frc395","frc79","","0",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm53","qm","1","53","frc108","frc179","","40","","frc311","frc866","","29",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm54","qm","1","54","frc665","frc690","","10","","frc180","frc780","","58",""
