"event_key","event_name","event_week","event_start_date","event_end_date","event_type","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm35","qm","1","35","frc1307","frc238","frc3323","31","","frc1058","frc1073","frc811","28",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm36","qm","1","36","frc319","frc61","frc885","54","","frc1831","frc1991","frc78","82",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm37","qm","1","37","frc1277","frc1519","frc4034","56","","frc1247","frc138","frc2791","66",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm38","qm","1","38","frc166","frc4124","frc95","83","","frc1729","frc2342","frc811","9",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm39","qm","1","39","frc1307","frc1991","frc3585","42","","frc1058","frc229","frc509","27",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm40","qm","1","40","frc238","frc4546","frc78","40","","frc172","frc230","frc2791","77",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm41","qm","1","41","frc131","frc1517","frc1729","60","","frc1519","frc3467","frc58","76",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm42","qm","1","42","frc1073","frc1277","frc1831","82","","frc1973","frc3360","frc95","3",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm43","qm","1","43","frc3609","frc4124","frc61","82","","frc133","frc3323","frc610","101",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm44","qm","1","44","frc138","frc319","frc4034","51","","frc1153","frc175","frc1922","44",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm45","qm","1","45","frc1247","frc1512","frc213","43","","frc151","frc3566","frc885","76",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm46","qm","1","46","frc1991","frc230","frc509","92","","frc131","frc2791","frc3467","68",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm47","qm","1","47","frc1519","frc3360","frc4546","70","","frc1058","frc1307","frc166","16",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm48","qm","1","48","frc238","frc811","frc885","63","","frc175","frc1973","frc3566","29",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm49","qm","1","49","frc151","frc58","frc61","73","","frc133","frc4034","frc95","29",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm50","qm","1","50","frc1922","frc213","frc319","57","","frc1073","frc172","frc4124","67",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm51","qm","1","51","frc1153","frc610","frc78","101","","frc1247","frc1729","frc1831","13",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm52","qm","1","52","frc138","frc1517","frc2342","61","","frc229","frc3585","frc3609","32",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm53","qm","1","53","frc1277","frc131","frc1512","85","","frc172","frc3323","frc811","51",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm54","qm","1","54","frc166","frc1831","frc1922","40","","frc133","frc1991","frc238","73",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm55","qm","1","55","frc1153","frc3585","frc58","51","","frc1973","frc4124","frc4546","66",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm56","qm","1","56","frc138","frc175","frc3360","67","","frc1512","frc230","frc3323","107",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm57","qm","1","57","frc1058","frc2791","frc95","26","","frc1517","frc3609","frc885","77",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm58","qm","1","58","frc1247","frc3566","frc61","30","","frc1073","frc1729","frc509","3",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm59","qm","1","59","frc151","frc1519","frc229","83","","frc319","frc3467","frc610","81",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm60","qm","1","60","frc213","frc2342","frc4034","38","","frc1277","frc1307","frc78","64",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm61","qm","1","61","frc3323","frc4546","frc95","35","","frc138","frc1973","frc509","39",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm62","qm","1","62","frc1922","frc229","frc811","39","","frc1729","frc3585","frc61","24",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm63","qm","1","63","frc1277","frc3360","frc885","96","","frc131","frc3609","frc610","142",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm64","qm","1","64","frc151","frc2791","frc78","39","","frc1073","frc166","frc58","29",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm65","qm","1","65","frc1307","frc133","frc319","49","","frc1153","frc1517","frc230","83",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm66","qm","1","66","frc1512","frc1519","frc1991","94","","frc238","frc4034","frc4124","76",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm67","qm","1","67","frc1058","frc1247","frc175","53","","frc1831","frc2342","frc3566","29",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm68","qm","1","68","frc1307","frc172","frc213","66","","frc229","frc3467","frc95","72",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm69","qm","1","69","frc151","frc3360","frc509","76","","frc1517","frc1922","frc4124","51",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm70","qm","1","70","frc175","frc1831","frc4034","37","","frc131","frc4546","frc61","72",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm71","qm","1","71","frc138","frc172","frc610","92","","frc1073","frc1991","frc2342","36",""
