"event_key","event_name","event_week","event_start_date","event_end_date","event_type","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm6","qm","1","6","frc1025","frc3098","frc3175","48","","frc1718","frc308","frc4743","46",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm7","qm","1","7","frc4384","frc4395","frc494","68","","frc2676","frc3414","frc835","40",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm8","qm","1","8","frc548","frc573","frc67","52","","frc3604","frc470","frc51","38",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm9","qm","1","9","frc1718","frc4737","frc4840","68","","frc2612","frc308","frc4044","25",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm10","qm","1","10","frc1025","frc2137","frc2851","67","","frc1188","frc3414","frc4384","65",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm11","qm","1","11","frc2834","frc3175","frc3655","35","","frc1701","frc4743","frc4779","0",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm12","qm","1","12","frc1","frc1528","frc3098","10","","frc2960","frc3570","frc494","42",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm13","qm","1","13","frc33","frc3548","frc4478","48","","frc3539","frc503","frc835","48",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm14","qm","1","14","frc308","frc4130","frc4779","39","","frc1701","frc1718","frc3542","118",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm15","qm","1","15","frc1528","frc4743","frc548","40","","frc3414","frc3655","frc4737","68",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm16","qm","1","16","frc2612","frc2676","frc4478","35","","frc3098","frc470","frc835","27",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm17","qm","1","17","frc4840","frc494","frc573","58","","frc1188","frc2137","frc3570","27",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm18","qm","1","18","frc1","frc2960","frc3548","10","","frc2851","frc33","frc67","107",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm19","qm","1","19","frc2834","frc3539","frc3542","32","","frc1025","frc4384","frc51","102",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm20","qm","1","20","frc3604","frc4395","frc503","0","","frc3175","frc4044","frc4130","32",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm21","qm","1","21","frc1","frc1188","frc1701","16","","frc3098","frc4478","frc548","37",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm22","qm","1","22","frc2137","frc3539","frc4743","34","","frc308","frc470","frc67","62",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm23","qm","1","23","frc1025","frc3414","frc3542","88","","frc3175","frc33","frc503","55",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm24","qm","1","24","frc3548","frc4130","frc4395","70","","frc1718","frc494","frc51","119",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm25","qm","1","25","frc2960","frc3604","frc4840","33","","frc2676","frc3570","frc4779","21",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm26","qm","1","26","frc2834","frc2851","frc835","84","","frc1528","frc2612","frc3655","46",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm27","qm","1","27","frc3098","frc4044","frc573","34","","frc4384","frc4737","frc503","46",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm28","qm","1","28","frc3175","frc3539","frc548","42","","frc2137","frc3604","frc494","52",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm29","qm","1","29","frc3655","frc51","frc67","70","","frc1188","frc1718","frc2960","82",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm30","qm","1","30","frc308","frc4737","frc573","42","","frc1","frc2834","frc33","79",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm31","qm","1","31","frc1528","frc4395","frc835","27","","frc4384","frc4779","frc4840","40",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm32","qm","1","32","frc1701","frc3414","frc4478","70","","frc1025","frc2612","frc470","77",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm33","qm","1","33","frc2851","frc3570","frc4044","37","","frc2676","frc3548","frc4743","4",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm34","qm","1","34","frc3175","frc3542","frc573","46","","frc2960","frc4130","frc67","95",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm35","qm","1","35","frc308","frc4395","frc51","26","","frc1188","frc3098","frc4737","10",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm36","qm","1","36","frc2137","frc4384","frc548","76","","frc1","frc470","frc4779","20",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm37","qm","1","37","frc33","frc3539","frc4044","67","","frc4478","frc4743","frc4840","5",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm38","qm","1","38","frc2676","frc3542","frc3604","38","","frc2612","frc2834","frc3414","89",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm39","qm","1","39","frc3548","frc3570","frc835","52","","frc1025","frc1718","frc3655","65",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm40","qm","1","40","frc1701","frc4130","frc503","89","","frc1528","frc2851","frc494","86",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm41","qm","1","41","frc1","frc4840","frc51","41","","frc3175","frc3414","frc470","40",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm42","qm","1","42","frc1188","frc3655","frc4743","7","","frc3098","frc3548","frc3604","82",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm43","qm","1","43","frc2960","frc4478","frc573","27","","frc2137","frc3542","frc4737","49",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm44","qm","1","44","frc2851","frc503","frc548","42","","frc2676","frc308","frc3539","28",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm45","qm","1","45","frc1528","frc2834","frc4384","55","","frc1718","frc4395","frc67","86",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm46","qm","1","46","frc1025","frc4779","frc494","74","","frc2612","frc33","frc4130","141",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm47","qm","1","47","frc2960","frc4044","frc835","66","","frc1701","frc3570","frc548","54",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm48","qm","1","48","frc1718","frc3414","frc503","82","","frc1188","frc2676","frc4840","20",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm49","qm","1","49","frc1025","frc33","frc3604","85","","frc2851","frc3098","frc4395","43",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm50","qm","1","50","frc3542","frc3570","frc3655","10","","frc2137","frc3175","frc67","66",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm51","qm","1","51","frc1","frc308","frc494","71","","frc2834","frc4478","frc51","38",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm52","qm","1","52","frc1528","frc3548","frc4779","14","","frc3539","frc470","frc573","113",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm53","qm","1","53","frc1701","frc2612","frc4737","61","","frc4130","frc4384","frc4743","44",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm54","qm","1","54","frc1188","frc494","frc835","72","","frc1","frc3542","frc4044","42",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm55","qm","1","55","frc308","frc3098","frc3414","74","","frc3539","frc3655","frc4779","63",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm56","qm","1","56","frc1528","frc2137","frc2676","47","","frc1701","frc3548","frc67","65",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm57","qm","1","57","frc1718","frc33","frc470","109","","frc4130","frc4737","frc835","64",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm58","qm","1","58","frc1025","frc2834","frc573","63","","frc4044","frc4840","frc548","46",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm59","qm","1","59","frc3175","frc3570","frc4478","24","","frc2851","frc3604","frc4384","83",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm60","qm","1","60","frc2960","frc503","frc51","96","","frc2612","frc4395","frc4743","52",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm61","qm","1","61","frc308","frc33","frc835","132","","frc1188","frc1528","frc67","95",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm62","qm","1","62","frc3098","frc4130","frc4840","30","","frc2851","frc3542","frc3548","46",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm63","qm","1","63","frc1718","frc2676","frc4384","110","","frc1701","frc3604","frc573","95",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm64","qm","1","64","frc2960","frc4779","frc548","55","","frc1025","frc4478","frc503","42",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm65","qm","1","65","frc2612","frc3175","frc51","74","","frc2137","frc2834","frc4044","27",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm66","qm","1","66","frc3570","frc4737","frc4743","32","","frc3414","frc3539","frc494","137",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm67","qm","1","67","frc1701","frc4395","frc470","23","","frc1","frc3655","frc573","66",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm68","qm","1","68","frc1718","frc3604","frc4130","108","","frc2137","frc4840","frc835","60",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm69","qm","1","69","frc3098","frc4779","frc67","108","","frc1528","frc4044","frc4478","28",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm70","qm","1","70","frc33","frc3570","frc4384","98","","frc2676","frc51","frc548","114",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm71","qm","1","71","frc2851","frc3655","frc470","68","","frc3542","frc494","frc503","53",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm72","qm","1","72","frc2834","frc308","frc3548","77","","frc2960","frc3414","frc4395","73",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm73","qm","1","73","frc1188","frc2612","frc3539","81","","frc1","frc3175","frc4743","24",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm74","qm","1","74","frc4737","frc494","frc67","58","","frc1025","frc1701","frc4840","32",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm75","qm","1","75","frc4044","frc4384","frc470","53","","frc2960","frc33","frc3655","76",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm76","qm","1","76","frc1718","frc2851","frc3539","109","","frc3542","frc4395","frc548","17",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm77","qm","1","77","frc3414","frc4743","frc51","93","","frc4779","frc573","frc835","50",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm78","qm","1","78","frc1","frc2612","frc3604","92","","frc1528","frc308","frc3570","51",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm79","qm","1","79","frc2676","frc3175","frc4737","12","","frc1025","frc1188","frc3548","20",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qm80","qm","1","80","frc2137","frc4130","frc4478","70","","frc2834","frc3098","frc503","51",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf1m1","qf","1","1","frc1718","frc33","frc4779","142","","frc2137","frc2834","frc835","57",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf1m2","qf","1","2","frc1718","frc33","frc4779","140","","frc2137","frc2834","frc835","79",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf2m1","qf","2","1","frc1025","frc4130","frc503","49","","frc2612","frc2960","frc548","61",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf2m2","qf","2","2","frc1025","frc4130","frc503","66","","frc2612","frc2960","frc548","50",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf2m3","qf","2","3","frc1025","frc4130","frc503","39","","frc2612","frc2960","frc548","45",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf3m1","qf","3","1","frc1","frc2851","frc3539","82","","frc1701","frc4384","frc573","81",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf3m2","qf","3","2","frc1","frc2851","frc3539","56","","frc1701","frc4384","frc573","65",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf3m3","qf","3","3","frc1","frc2851","frc3539","114","","frc1701","frc4384","frc573","91",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf4m1","qf","4","1","frc308","frc494","frc67","76","","frc3414","frc3604","frc51","99",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf4m2","qf","4","2","frc308","frc494","frc67","113","","frc3414","frc3604","frc51","75",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_qf4m3","qf","4","3","frc308","frc494","frc67","67","","frc3414","frc3604","frc51","129",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_sf1m1","sf","1","1","frc1718","frc33","frc4779","172","","frc2612","frc2960","frc548","46",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_sf1m2","sf","1","2","frc1718","frc33","frc4779","129","","frc2612","frc2960","frc548","60",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_sf2m1","sf","2","1","frc1","frc2851","frc3539","111","","frc3414","frc3604","frc51","90",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_sf2m2","sf","2","2","frc1","frc2851","frc3539","89","","frc3414","frc3604","frc51","112",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_sf2m3","sf","2","3","frc1","frc2851","frc3539","34","","frc3414","frc3604","frc51","134",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_f1m1","f","1","1","frc1718","frc33","frc4779","101","","frc3414","frc3604","frc51","96",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_f1m2","f","1","2","frc1718","frc33","frc4779","85","","frc3414","frc3604","frc51","91",""
"2013miwfd","Waterford","1","2013-03-08","2013-03-09","District","2013miwfd_f1m3","f","1","3","frc1718","frc33","frc4779","134","","frc3414","frc3604","frc51","77",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm1","qm","1","1","frc1573","frc4406","frc4725","6","","frc1577","frc1580","frc3065","31",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm2","qm","1","2","frc1952","frc2216","frc4724","36","","frc2679","frc3339","frc3835","67",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm3","qm","1","3","frc3075","frc4338","frc4661","30","","frc1937","frc2212","frc4794","43",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm4","qm","1","4","frc1574","frc3211","frc4586","29","","frc2630","frc4319","frc4784","44",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm5","qm","1","5","frc1836","frc1943","frc1949","15","","frc1576","frc1944","frc2217","37",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm6","qm","1","6","frc1657","frc3388","frc4744","10","","frc3087","frc3368","frc4320","39",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm7","qm","1","7","frc2213","frc2230","frc3083","13","","frc1690","frc2231","frc4649","20",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm8","qm","1","8","frc1942","frc4708","frc4757","36","","frc3316","frc4590","frc4790","42",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm9","qm","1","9","frc1946","frc2679","frc4794","16","","frc1577","frc4586","frc4784","10",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm10","qm","1","10","frc1657","frc3075","frc4406","34","","frc1944","frc3339","frc3388","28",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm11","qm","1","11","frc3368","frc4319","frc4724","19","","frc1573","frc1949","frc2230","47",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm12","qm","1","12","frc1574","frc1690","frc1943","16","","frc2212","frc4661","frc4757","27",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm13","qm","1","13","frc1942","frc3211","frc4725","29","","frc1576","frc2216","frc4708","41",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm14","qm","1","14","frc1946","frc3087","frc4590","14","","frc1937","frc2213","frc3835","41",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm15","qm","1","15","frc2217","frc3316","frc4649","22","","frc2231","frc4338","frc4790","75",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm16","qm","1","16","frc1580","frc2630","frc3083","40","","frc1836","frc1952","frc4320","48",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm17","qm","1","17","frc3065","frc3388","frc4661","185","","frc1942","frc4744","frc4784","30",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm18","qm","1","18","frc1937","frc1943","frc3339","25","","frc2230","frc3835","frc4725","0",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm19","qm","1","19","frc1577","frc3075","frc4790","95","","frc1576","frc3368","frc4586","42",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm20","qm","1","20","frc1574","frc3316","frc4320","73","","frc1946","frc2217","frc3211","20",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm21","qm","1","21","frc2630","frc4744","frc4757","59","","frc4338","frc4649","frc4724","46",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm22","qm","1","22","frc2212","frc2216","frc4406","16","","frc1573","frc1836","frc3083","20",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm23","qm","1","23","frc1944","frc4708","frc4794","24","","frc1952","frc3065","frc3087","69",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm24","qm","1","24","frc1580","frc2679","frc4319","8","","frc2213","frc2231","frc4590","18",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm25","qm","1","25","frc1577","frc1937","frc1949","22","","frc1657","frc1690","frc2630","74",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm26","qm","1","26","frc1942","frc3075","frc3339","58","","frc1574","frc1836","frc4744","104",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm27","qm","1","27","frc1943","frc4586","frc4757","12","","frc1573","frc4320","frc4708","79",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm28","qm","1","28","frc1946","frc4319","frc4649","28","","frc2216","frc3368","frc4661","0",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm29","qm","1","29","frc3388","frc4406","frc4794","10","","frc1576","frc2230","frc4790","34",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm30","qm","1","30","frc2212","frc2217","frc4724","20","","frc1944","frc2213","frc3065","53",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm31","qm","1","31","frc1580","frc1690","frc4784","18","","frc3087","frc3316","frc3835","53",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm32","qm","1","32","frc1952","frc4338","frc4590","76","","frc1949","frc2231","frc4725","65",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm33","qm","1","33","frc2679","frc3083","frc4790","18","","frc1657","frc1943","frc3211","26",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm34","qm","1","34","frc1937","frc4319","frc4320","58","","frc1577","frc2212","frc3339","22",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm35","qm","1","35","frc2213","frc3316","frc3388","42","","frc2216","frc2630","frc4794","37",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm36","qm","1","36","frc1952","frc3368","frc4708","87","","frc1690","frc2217","frc3075","47",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm37","qm","1","37","frc1576","frc2679","frc3065","40","","frc1946","frc3083","frc4757","24",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm38","qm","1","38","frc3211","frc4661","frc4724","34","","frc1580","frc1836","frc4406","20",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm39","qm","1","39","frc1949","frc3835","frc4586","57","","frc4649","frc4725","frc4744","28",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm40","qm","1","40","frc1573","frc1942","frc2231","117","","frc1944","frc3087","frc4338","27",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm41","qm","1","41","frc1574","frc4590","frc4784","64","","frc1657","frc2216","frc2230","17",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm42","qm","1","42","frc3065","frc3316","frc4406","26","","frc1952","frc3075","frc4319","52",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm43","qm","1","43","frc1836","frc2212","frc2630","124","","frc1946","frc4725","frc4790","33",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm44","qm","1","44","frc1949","frc3211","frc3339","71","","frc3087","frc4757","frc4794","12",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm45","qm","1","45","frc1944","frc3368","frc3835","16","","frc1574","frc2679","frc4338","50",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm46","qm","1","46","frc2217","frc2230","frc4586","28","","frc1580","frc1657","frc1942","54",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm47","qm","1","47","frc1577","frc4661","frc4708","42","","frc2231","frc3083","frc3388","32",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm48","qm","1","48","frc1576","frc1690","frc2213","40","","frc1573","frc4590","frc4744","46",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm49","qm","1","49","frc1937","frc4649","frc4784","24","","frc1943","frc4320","frc4724","47",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm50","qm","1","50","frc1942","frc1944","frc2630","69","","frc3835","frc4319","frc4794","22",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm51","qm","1","51","frc2230","frc3087","frc4661","0","","frc2217","frc2679","frc4725","1",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm52","qm","1","52","frc1836","frc2216","frc2231","33","","frc3065","frc3368","frc4757","28",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm53","qm","1","53","frc1946","frc3339","frc4744","30","","frc1580","frc1943","frc4708","33",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm54","qm","1","54","frc1577","frc1690","frc4590","38","","frc3075","frc3211","frc4649","41",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm55","qm","1","55","frc1937","frc3388","frc4790","40","","frc1573","frc1574","frc1952","108",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm56","qm","1","56","frc2213","frc4320","frc4586","47","","frc1949","frc4338","frc4406","34",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm57","qm","1","57","frc1576","frc1657","frc2212","35","","frc3316","frc4724","frc4784","96",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm58","qm","1","58","frc2217","frc3083","frc3368","6","","frc3339","frc4590","frc4794","40",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm59","qm","1","59","frc1690","frc3087","frc4744","78","","frc1943","frc4319","frc4790","22",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm60","qm","1","60","frc1574","frc1949","frc4649","26","","frc2679","frc4406","frc4708","9",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm61","qm","1","61","frc1952","frc2630","frc4661","116","","frc1573","frc1657","frc4586","44",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm62","qm","1","62","frc1580","frc2216","frc4320","61","","frc1576","frc1937","frc3075","32",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm63","qm","1","63","frc1946","frc2212","frc2231","24","","frc1942","frc3388","frc4724","21",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm64","qm","1","64","frc2213","frc4725","frc4757","44","","frc1944","frc3083","frc4784","10",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm65","qm","1","65","frc3065","frc3835","frc4338","20","","frc1577","frc2230","frc3211","34",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm66","qm","1","66","frc1836","frc2679","frc4586","30","","frc1690","frc1937","frc3316","62",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm67","qm","1","67","frc1657","frc1949","frc4794","49","","frc1943","frc1946","frc2216","37",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm68","qm","1","68","frc3083","frc3087","frc4725","12","","frc1574","frc3075","frc4724","112",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm69","qm","1","69","frc1944","frc4320","frc4790","53","","frc3835","frc4590","frc4661","54",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm70","qm","1","70","frc1573","frc1580","frc3339","102","","frc1942","frc3065","frc4649","62",""
"2013ista","Israel","1","2013-03-10","2013-03-12","Regional","2013ista_qm71","qm","1","71","frc2230","frc3368","frc4744","21","","frc2212","frc3211","frc3316","66",""
