"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm1","qm","1","1","frc1104","frc937","","28","","frc877","frc936","","49",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm2","qm","1","2","frc1090","frc939","","25","","frc1067","frc476","","50",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm3","qm","1","3","frc755","frc906","","4","","frc16","frc538","","104",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm4","qm","1","4","frc1020","frc868","","55","","frc1098","frc1178","","121",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm5","qm","1","5","frc1215","frc356","","54","","frc1005","frc770","","65",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm6","qm","1","6","frc1209","frc878","","7","","frc1208","frc1210","","15",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm7","qm","1","7","frc393","frc935","","73","","frc447","frc650","","41",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm8","qm","1","8","frc1094","frc931","","109","","frc829","frc876","","45",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm9","qm","1","9","frc1101","frc1182","","9","","frc171","frc938","","34",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm10","qm","1","10","frc765","frc941","","24","","frc442","frc525","","138",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm11","qm","1","11","frc513","frc764","","8","","frc1018","frc1024","","72",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm12","qm","1","12","frc879","frc940","","67","","frc648","frc875","","3",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm13","qm","1","13","frc1028","frc967","","72","","frc31","frc982","","8",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm14","qm","1","14","frc45","frc880","","8","","frc547","frc755","","52",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm15","qm","1","15","frc1178","frc877","","110","","frc1020","frc906","","70",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm16","qm","1","16","frc1005","frc476","","17","","frc356","frc868","","24",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm17","qm","1","17","frc1208","frc538","","52","","frc1215","frc878","","16",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm18","qm","1","18","frc1098","frc447","","78","","frc1209","frc393","","47",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm19","qm","1","19","frc770","frc876","","4","","frc931","frc935","","42",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm20","qm","1","20","frc1210","frc171","","56","","frc1094","frc1182","","45",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm21","qm","1","21","frc442","frc650","","54","","frc1101","frc765","","24",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm22","qm","1","22","frc1024","frc829","","135","","frc764","frc941","","30",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm23","qm","1","23","frc875","frc938","","47","","frc513","frc879","","71",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm24","qm","1","24","frc31","frc525","","69","","frc1028","frc940","","3",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm25","qm","1","25","frc547","frc936","","104","","frc1018","frc967","","43",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm26","qm","1","26","frc1104","frc45","","94","","frc1067","frc648","","14",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm27","qm","1","27","frc880","frc937","","53","","frc939","frc982","","97",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm28","qm","1","28","frc1090","frc16","","82","","frc1098","frc1208","","31",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm29","qm","1","29","frc356","frc906","","93","","frc447","frc770","","72",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm30","qm","1","30","frc868","frc878","","105","","frc1210","frc876","","6",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm31","qm","1","31","frc1215","frc393","","12","","frc171","frc650","","170",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm32","qm","1","32","frc1209","frc931","","52","","frc442","frc829","","60",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm33","qm","1","33","frc1182","frc935","","51","","frc1024","frc938","","35",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm34","qm","1","34","frc1094","frc765","","40","","frc525","frc875","","129",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm35","qm","1","35","frc1101","frc764","","33","","frc31","frc936","","113",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm36","qm","1","36","frc879","frc941","","28","","frc1104","frc547","","70",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm37","qm","1","37","frc1028","frc513","","41","","frc45","frc937","","51",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm38","qm","1","38","frc940","frc967","","64","","frc1090","frc880","","57",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm39","qm","1","39","frc1018","frc648","","33","","frc16","frc877","","69",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm40","qm","1","40","frc1067","frc1178","","6","","frc476","frc982","","43",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm41","qm","1","41","frc755","frc939","","61","","frc1005","frc538","","67",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm42","qm","1","42","frc1020","frc1210","","18","","frc1209","frc356","","125",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm43","qm","1","43","frc650","frc876","","70","","frc878","frc935","","37",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm44","qm","1","44","frc171","frc829","","42","","frc1094","frc393","","5",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm45","qm","1","45","frc442","frc938","","51","","frc1101","frc931","","55",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm46","qm","1","46","frc1024","frc525","","60","","frc1182","frc941","","14",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm47","qm","1","47","frc875","frc936","","101","","frc513","frc765","","5",""
