"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm37","qm","1","37","frc131","frc1474","frc296","68","","frc1100","frc1138","frc1547","24",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm38","qm","1","38","frc1058","frc1922","frc350","18","","frc155","frc1568","frc811","22",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm39","qm","1","39","frc1247","frc176","frc529","37","","frc1289","frc1350","frc238","11",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm40","qm","1","40","frc1517","frc287","frc501","32","","frc1307","frc241","frc58","36",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm41","qm","1","41","frc175","frc190","frc97","36","","frc1153","frc1519","frc213","60",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm42","qm","1","42","frc1831","frc319","frc95","20","","frc1073","frc133","frc151","43",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm43","qm","1","43","frc1721","frc1824","frc40","52","","frc138","frc166","frc663","20",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm44","qm","1","44","frc1276","frc172","frc549","44","","frc1100","frc350","frc529","16",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm45","qm","1","45","frc1058","frc125","frc42","32","","frc1289","frc1474","frc1547","38",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm46","qm","1","46","frc1153","frc562","frc836","34","","frc1519","frc1568","frc176","17",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm47","qm","1","47","frc1073","frc1247","frc885","25","","frc175","frc296","frc58","97",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm48","qm","1","48","frc1824","frc213","frc287","33","","frc151","frc663","frc95","55",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm49","qm","1","49","frc1307","frc190","frc319","40","","frc131","frc1721","frc1922","26",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm50","qm","1","50","frc155","frc1831","frc241","33","","frc1138","frc134","frc97","43",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm51","qm","1","51","frc1350","frc40","frc501","35","","frc133","frc1512","frc549","52",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm52","qm","1","52","frc138","frc1517","frc238","1","","frc1276","frc166","frc811","44",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm53","qm","1","53","frc1073","frc1153","frc1474","29","","frc1824","frc529","frc95","9",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm54","qm","1","54","frc1307","frc172","frc296","70","","frc1058","frc213","frc836","9",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm55","qm","1","55","frc131","frc1831","frc350","16","","frc125","frc1289","frc241","2",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm56","qm","1","56","frc1247","frc133","frc97","19","","frc1547","frc155","frc1721","43",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm57","qm","1","57","frc1519","frc166","frc549","66","","frc1350","frc1922","frc287","36",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm58","qm","1","58","frc562","frc811","frc885","61","","frc319","frc40","frc42","65",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm59","qm","1","59","frc1517","frc1568","frc175","7","","frc1138","frc1276","frc663","40",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm60","qm","1","60","frc134","frc238","frc501","0","","frc1100","frc151","frc190","16",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm61","qm","1","61","frc138","frc176","frc58","62","","frc1058","frc1512","frc95","19",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm62","qm","1","62","frc1073","frc131","frc172","14","","frc133","frc1519","frc241","14",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm63","qm","1","63","frc1474","frc549","frc562","59","","frc125","frc1307","frc97","16",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm64","qm","1","64","frc1138","frc1247","frc166","34","","frc1568","frc213","frc529","13",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm65","qm","1","65","frc134","frc663","frc811","87","","frc1153","frc296","frc350","10",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm66","qm","1","66","frc176","frc319","frc501","46","","frc1276","frc155","frc1824","33",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm67","qm","1","67","frc1831","frc238","frc58","34","","frc1922","frc40","frc836","7",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm68","qm","1","68","frc1289","frc287","frc885","18","","frc1100","frc138","frc175","51",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm69","qm","1","69","frc1350","frc151","frc1721","41","","frc1512","frc1517","frc1547","19",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm70","qm","1","70","frc172","frc190","frc42","43","","frc1247","frc811","frc95","25",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm71","qm","1","71","frc1073","frc125","frc1568","8","","frc1307","frc155","frc296","8",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm72","qm","1","72","frc131","frc176","frc40","28","","frc1138","frc1474","frc501","56",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm73","qm","1","73","frc138","frc1519","frc885","50","","frc319","frc549","frc663","28",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm74","qm","1","74","frc1058","frc134","frc1721","38","","frc1276","frc1350","frc175","50",""
