"key","number","name","city","state_prov","country","rookie_year"
"frc1255","1255","Blarglefish","Baytown","Texas","USA","2004"
"frc1257","1257","Parallel Universe","Scotch Plains","New Jersey","USA","2004"
"frc1258","1258","SeaBot","Seattle","Washington","USA","2004"
"frc1259","1259","Paradigm Shift","Pewaukee","Wisconsin","USA","2004"
"frc126","126","Gael Force","Clinton","Massachusetts","USA","1992"
"frc1261","1261","Robo Lions Team1261","Suwanee","Georgia","USA","2004"
"frc1262","1262","the STAGS","Martinsville","Virginia","USA","2004"
"frc1266","1266","The Devil Duckies","San Diego","California","USA","2004"
"frc1277","1277","The Robotomies","Groton","Massachusetts","USA","2004"
"frc1279","1279","Cold Fusion","Somerville","New Jersey","USA","2004"
"frc128","128","The Botcats","Columbus","Ohio","USA","1997"
"frc1280","1280","Ragin' C-Biscuits","Danville","California","USA","2004"
"frc1285","1285","The Biggest Birds","Mississauga","Ontario","Canada","2004"
"frc1287","1287","Aluminum Assault","Myrtle Beach","South Carolina","USA","2004"
"frc1288","1288","RAVEN Robotics","Saint Charles","Missouri","USA","2004"
"frc1289","1289","Gearheadz","Lawrence","Massachusetts","USA","2004"
"frc1290","1290","Robowolves","Chandler","Arizona","USA","2004"
"frc1293","1293","Pandamaniacs","Columbia","South Carolina","USA","2004"
"frc1294","1294","Pack of Parts","Sammamish","Washington","USA","2004"
"frc1296","1296","Full Metal Jackets","Rockwall","Texas","USA","2004"
"frc1303","1303","WYOHAZARD","Casper","Wyoming","USA","2004"
"frc1305","1305","Ice Cubed","North Bay","Ontario","Canada","2004"
"frc1306","1306","BadgerBOTS","Middleton","Wisconsin","USA","2004"
"frc1307","1307","Robosaints","Dover","New Hampshire","USA","2004"
"frc1308","1308","Saint Ignatius High School Robotics Team","Cleveland","Ohio","USA","2004"
"frc131","131","CHAOS","Manchester","New Hampshire","USA","1992"
"frc1310","1310","Runnymede Robotics","Toronto","Ontario","Canada","2004"
"frc1311","1311","Kell Robotics","Kennesaw","Georgia","USA","2004"
"frc1317","1317","Digital Fusion","Westerville","Ohio","USA","2004"
