"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm1","qm","1","1","","frc1592","frc386","frc4953","frc1649","frc21","frc3932"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm2","qm","1","2","","frc4013","frc4562","frc5557","frc108","frc1523","frc3502"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm3","qm","1","3","","frc3410","frc3992","frc5472","frc4592","frc5243","frc5410"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm4","qm","1","4","","frc348","frc4471","frc5196","frc4516","frc5591","frc744"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm5","qm","1","5","","frc2641","frc3233","frc87","frc1251","frc192","frc3164"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm6","qm","1","6","","frc1065","frc5283","frc5329","frc125","frc4517","frc714"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm7","qm","1","7","","frc159","frc1622","frc5655","frc2152","frc3653","frc612"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm8","qm","1","8","","frc179","frc2016","frc3242","frc2234","frc2383","frc263"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm9","qm","1","9","","frc2641","frc59","frc744","frc180","frc3233","frc5557"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm10","qm","1","10","","frc4013","frc4471","frc5410","frc192","frc386","frc5329"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm11","qm","1","11","","frc4562","frc4953","frc5591","frc3410","frc5243","frc87"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm12","qm","1","12","","frc179","frc263","frc5196","frc159","frc3164","frc714"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm13","qm","1","13","","frc21","frc2234","frc612","frc1251","frc1649","frc4517"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm14","qm","1","14","","frc125","frc180","frc5472","frc108","frc1592","frc2383"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm15","qm","1","15","","frc2152","frc348","frc4516","frc3502","frc5283","frc59"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm16","qm","1","16","","frc1523","frc2016","frc3653","frc1065","frc3992","frc4592"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm17","qm","1","17","","frc3932","frc4562","frc5655","frc1622","frc3242","frc5591"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm18","qm","1","18","","frc5243","frc612","frc714","frc21","frc3233","frc4013"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm19","qm","1","19","","frc263","frc4953","frc744","frc2152","frc2383","frc4517"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm20","qm","1","20","","frc3164","frc3653","frc5410","frc180","frc386","frc59"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm21","qm","1","21","","frc3932","frc3992","frc87","frc2234","frc348","frc5472"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm22","qm","1","22","","frc1251","frc4592","frc5196","frc125","frc3242","frc5557"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm23","qm","1","23","","frc1523","frc159","frc5329","frc1592","frc1622","frc5283"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm24","qm","1","24","","frc108","frc1649","frc192","frc1065","frc4516","frc5655"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm25","qm","1","25","","frc2016","frc2641","frc3410","frc179","frc3502","frc4471"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm26","qm","1","26","","frc21","frc3164","frc5196","frc3653","frc4562","frc5472"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm27","qm","1","27","","frc4013","frc4592","frc59","frc2234","frc4953","frc5283"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm28","qm","1","28","","frc3233","frc386","frc3992","frc159","frc263","frc5591"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm29","qm","1","29","","frc3502","frc5329","frc744","frc1065","frc1251","frc179"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm30","qm","1","30","","frc125","frc1622","frc1649","frc2383","frc2641","frc5243"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm31","qm","1","31","","frc1592","frc4516","frc612","frc5410","frc5557","frc87"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm32","qm","1","32","","frc108","frc180","frc4517","frc2016","frc5655","frc714"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm33","qm","1","33","","frc1523","frc192","frc2152","frc3410","frc348","frc3932"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm34","qm","1","34","","frc125","frc3992","frc4471","frc21","frc3242","frc3502"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm35","qm","1","35","","frc179","frc386","frc87","frc3233","frc4562","frc4592"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm36","qm","1","36","","frc263","frc2641","frc5655","frc2383","frc5329","frc612"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm37","qm","1","37","","frc1649","frc2152","frc5243","frc192","frc2016","frc5196"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm38","qm","1","38","","frc1065","frc1523","frc4953","frc180","frc4471","frc4516"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm39","qm","1","39","","frc3932","frc5591","frc59","frc159","frc4013","frc4517"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm40","qm","1","40","","frc1622","frc2234","frc3410","frc3164","frc5283","frc5557"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm41","qm","1","41","","frc1251","frc3653","frc714","frc1592","frc348","frc744"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm42","qm","1","42","","frc192","frc3242","frc5410","frc108","frc4953","frc5472"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm43","qm","1","43","","frc386","frc4516","frc4562","frc2016","frc4517","frc59"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm44","qm","1","44","","frc2383","frc3932","frc4592","frc3502","frc5196","frc612"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm45","qm","1","45","","frc263","frc3410","frc5557","frc1065","frc21","frc87"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm46","qm","1","46","","frc1251","frc159","frc348","frc1622","frc4013","frc5472"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm47","qm","1","47","","frc3164","frc5243","frc744","frc108","frc2641","frc3242"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm48","qm","1","48","","frc3233","frc5591","frc5655","frc125","frc1523","frc5410"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm49","qm","1","49","","frc1592","frc179","frc180","frc2152","frc3992","frc5283"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm50","qm","1","50","","frc4471","frc5329","frc714","frc1649","frc2234","frc3653"
"2015flfo","South Florida","2015-02-25","2015-02-28","2015flfo_qm51","qm","1","51","","frc1622","frc21","frc5243","frc1065","frc192","frc59"
