"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm1","qm","1","1","red","frc1517","frc176","frc213","frc1073","frc134","frc1922"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm2","qm","1","2","blue","frc1307","frc1721","frc885","frc1100","frc133","frc238"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm3","qm","1","3","blue","frc1153","frc125","frc131","frc1276","frc1350","frc58"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm4","qm","1","4","blue","frc241","frc40","frc529","frc1058","frc151","frc836"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm5","qm","1","5","blue","frc1568","frc663","frc97","frc1547","frc172","frc501"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm6","qm","1","6","red","frc287","frc42","frc95","frc1138","frc1519","frc155"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm7","qm","1","7","red","frc1474","frc175","frc319","frc1512","frc166","frc350"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm8","qm","1","8","red","frc1824","frc296","frc549","frc1289","frc190","frc811"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm9","qm","1","9","blue","frc1247","frc1831","frc562","frc1307","frc134","frc138"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm10","qm","1","10","red","frc131","frc151","frc97","frc1153","frc1517","frc885"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm11","qm","1","11","red","frc42","frc529","frc663","frc133","frc1922","frc58"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm12","qm","1","12","red","frc1519","frc350","frc40","frc1547","frc213","frc238"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm13","qm","1","13","blue","frc175","frc549","frc95","frc125","frc501","frc836"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm14","qm","1","14","red","frc1512","frc1831","frc296","frc1721","frc176","frc287"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm15","qm","1","15","blue","frc1247","frc1474","frc190","frc1276","frc1568","frc241"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm16","qm","1","16","blue","frc1289","frc155","frc166","frc1073","frc1100","frc562"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm17","qm","1","17","blue","frc1058","frc1350","frc1824","frc1138","frc172","frc319"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm18","qm","1","18","red","frc131","frc138","frc811","frc1547","frc175","frc529"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm19","qm","1","19","blue","frc1307","frc176","frc42","frc151","frc350","frc549"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm20","qm","1","20","blue","frc134","frc1568","frc287","frc1153","frc133","frc40"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm21","qm","1","21","blue","frc1276","frc1289","frc95","frc1512","frc1922","frc97"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm22","qm","1","22","","frc1100","frc1247","frc1824","frc125","frc1517","frc1519"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm23","qm","1","23","red","frc296","frc319","frc562","frc238","frc241","frc663"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm24","qm","1","24","red","frc1058","frc166","frc501","frc1831","frc190","frc885"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm25","qm","1","25","red","frc1073","frc1138","frc58","frc1721","frc811","frc836"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm26","qm","1","26","blue","frc1474","frc172","frc213","frc1350","frc138","frc155"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm27","qm","1","27","red","frc131","frc1568","frc42","frc1307","frc1512","frc1824"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm28","qm","1","28","blue","frc175","frc40","frc562","frc125","frc1922","frc296"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm29","qm","1","29","red","frc1547","frc241","frc885","frc166","frc176","frc95"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm30","qm","1","30","blue","frc1138","frc133","frc1517","frc190","frc350","frc836"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm31","qm","1","31","blue","frc134","frc172","frc58","frc1289","frc151","frc1519"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm32","qm","1","32","blue","frc1100","frc1350","frc1831","frc1474","frc663","frc811"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm33","qm","1","33","blue","frc1153","frc155","frc238","frc1058","frc1247","frc549"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm34","qm","1","34","red","frc1073","frc138","frc97","frc287","frc319","frc529"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm35","qm","1","35","","frc1276","frc1721","frc501","frc213","frc42","frc562"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm36","qm","1","36","blue","frc172","frc836","frc885","frc125","frc134","frc1512"
