"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm1","qm","1","1","frc116","frc2913","frc346","76","frc122","frc2963","frc597","50"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm2","qm","1","2","frc1885","frc2961","frc365","28","frc1699","frc1872","frc45","82"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm3","qm","1","3","frc1111","frc2068","frc2537","54","frc181","frc1849","frc620","22"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm4","qm","1","4","frc1522","frc587","frc623","50","frc118","frc611","frc614","91"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm5","qm","1","5","frc2729","frc2914","frc538","48","frc1748","frc2421","frc2912","34"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm6","qm","1","6","frc1900","frc1915","frc234","60","frc1793","frc2199","frc2377","75"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm7","qm","1","7","frc1719","frc1727","frc1731","64","frc1370","frc1446","frc836","42"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm8","qm","1","8","frc1418","frc2911","frc339","40","frc1123","frc2819","frc357","32"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm9","qm","1","9","frc449","frc7","frc768","62","frc176","frc272","frc2900","52"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm10","qm","1","10","frc1629","frc2121","frc709","22","frc1712","frc2962","frc3046","84"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm11","qm","1","11","frc1279","frc401","frc53","52","frc2963","frc2964","frc615","0"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm12","qm","1","12","frc1111","frc2914","frc587","74","frc1446","frc2199","frc45","87"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm13","qm","1","13","frc118","frc538","frc620","45","frc1719","frc1885","frc1915","18"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm14","qm","1","14","frc2068","frc2819","frc2900","38","frc1370","frc2913","frc623","28"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm15","qm","1","15","frc1727","frc2961","frc339","22","frc1629","frc1793","frc181","66"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm16","qm","1","16","frc1418","frc2121","frc272","38","frc2421","frc53","frc597","36"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm17","qm","1","17","frc122","frc1522","frc2377","82","frc1849","frc1872","frc357","24"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm18","qm","1","18","frc1279","frc1712","frc614","66","frc1123","frc176","frc2729","56"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm19","qm","1","19","frc1699","frc2964","frc449","36","frc116","frc2912","frc2962","22"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm20","qm","1","20","frc234","frc2911","frc401","62","frc1731","frc1748","frc2537","56"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm21","qm","1","21","frc615","frc7","frc836","52","frc3046","frc346","frc611","36"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm22","qm","1","22","frc1111","frc1900","frc365","0","frc538","frc709","frc768","42"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm23","qm","1","23","frc1629","frc1719","frc2377","62","frc272","frc2729","frc2913","52"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm24","qm","1","24","frc1727","frc2199","frc614","86","frc1418","frc1699","frc1849","38"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm25","qm","1","25","frc118","frc1712","frc1793","60","frc116","frc357","frc53","40"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm26","qm","1","26","frc1446","frc2068","frc2911","56","frc122","frc2121","frc449","32"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm27","qm","1","27","frc1123","frc2900","frc836","52","frc234","frc2964","frc620","72"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm28","qm","1","28","frc2912","frc346","frc709","32","frc1279","frc2961","frc623","54"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm29","qm","1","29","frc1748","frc1885","frc587","32","frc1900","frc339","frc7","58"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm30","qm","1","30","frc1915","frc597","frc615","52","frc1731","frc1872","frc768","28"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm31","qm","1","31","frc1522","frc2537","frc3046","36","frc176","frc2421","frc45","68"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm32","qm","1","32","frc181","frc2819","frc2962","65","frc2914","frc365","frc401","89"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm33","qm","1","33","frc1370","frc2199","frc538","68","frc2911","frc2963","frc611","26"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm34","qm","1","34","frc1446","frc1849","frc53","28","frc2729","frc2961","frc7","69"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm35","qm","1","35","frc1629","frc1699","frc357","39","frc1915","frc2121","frc346","36"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm36","qm","1","36","frc116","frc768","frc836","61","frc1418","frc2537","frc587","14"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm37","qm","1","37","frc2421","frc2900","frc623","18","frc1731","frc2377","frc365","132"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm38","qm","1","38","frc2068","frc234","frc615","74","frc1727","frc176","frc2962","34"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm39","qm","1","39","frc1900","frc449","frc597","56","frc1712","frc1719","frc401","48"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm40","qm","1","40","frc122","frc2819","frc620","36","frc1279","frc45","frc611","38"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm41","qm","1","41","frc1370","frc2964","frc339","60","frc118","frc2914","frc709","51"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm42","qm","1","42","frc1885","frc272","frc2963","62","frc181","frc2912","frc614","50"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm43","qm","1","43","frc1123","frc1748","frc1872","24","frc1111","frc2913","frc3046","56"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm44","qm","1","44","frc1793","frc2729","frc2962","24","frc1522","frc346","frc768","56"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm45","qm","1","45","frc2121","frc401","frc538","16","frc116","frc1727","frc623","56"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm46","qm","1","46","frc1279","frc1370","frc365","60","frc1629","frc234","frc7","62"
"2009dc","Washington DC","2009-02-26","2009-02-28","2009dc_qm47","qm","1","47","frc1900","frc2963","frc45","72","frc118","frc1731","frc1849","38"
