"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm1","qm","1","1","blue","frc1277","frc157","","frc138","frc97",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm2","qm","1","2","","frc140","frc885","","frc166","frc529",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm3","qm","1","3","blue","frc1152","frc467","","frc176","frc811",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm4","qm","1","4","blue","frc1073","frc134","","frc1350","frc501",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm5","qm","1","5","blue","frc1058","frc155","","frc213","frc40",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm6","qm","1","6","red","frc42","frc69","","frc1289","frc549",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm7","qm","1","7","","frc1474","frc151","","frc1153","frc95",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm8","qm","1","8","","frc121","frc350","","frc238","frc663",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm9","qm","1","9","blue","frc125","frc229","","frc175","frc241",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm10","qm","1","10","blue","frc1335","frc58","","frc1276","frc319",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm11","qm","1","11","red","frc1307","frc131","","frc172","frc246",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm12","qm","1","12","blue","frc1247","frc562","","frc126","frc839",""
"2004nh","BAE SYSTEMS Granite State","2004-03-04","2004-03-06","2004nh_qm13","qm","1","13","blue","frc133","frc97","","frc190","frc296",""
