"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm1","qm","1","1","blue","frc1519","frc1922","frc1973","frc1512","frc78","frc95"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm2","qm","1","2","blue","frc2342","frc238","frc3585","frc151","frc213","frc3323"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm3","qm","1","3","red","frc1517","frc1831","frc61","frc1277","frc166","frc230"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm4","qm","1","4","blue","frc172","frc4034","frc58","frc1058","frc3566","frc610"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm5","qm","1","5","blue","frc1073","frc1153","frc3609","frc131","frc175","frc1991"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm6","qm","1","6","red","frc229","frc2791","frc4546","frc319","frc3360","frc811"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm7","qm","1","7","red","frc138","frc4124","frc885","frc1247","frc1307","frc3467"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm8","qm","1","8","blue","frc133","frc175","frc509","frc1519","frc172","frc1729"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm9","qm","1","9","blue","frc1991","frc3566","frc95","frc3360","frc3585","frc78"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm10","qm","1","10","red","frc131","frc166","frc1973","frc1247","frc229","frc319"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm11","qm","1","11","red","frc238","frc2791","frc61","frc1153","frc2342","frc4124"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm12","qm","1","12","blue","frc1058","frc3323","frc3467","frc1922","frc230","frc610"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm13","qm","1","13","blue","frc1073","frc133","frc1517","frc1512","frc4034","frc885"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm14","qm","1","14","blue","frc1307","frc1729","frc4546","frc1277","frc151","frc3609"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm15","qm","1","15","blue","frc1831","frc509","frc811","frc138","frc213","frc58"
"2013nhma","BAE Systems Granite State","2013-02-28","2013-03-02","2013nhma_qm16","qm","1","16","blue","frc166","frc3467","frc3585","frc1073","frc4034","frc61"
