"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm1","qm","1","1","frc4320","frc4338","frc5990","26","frc1690","frc4319","frc9303","59"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm2","qm","1","2","frc6230","frc6740","frc7177","24","frc1576","frc1577","frc3211","37"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm3","qm","1","3","frc1574","frc5135","frc9740","15","frc1580","frc1942","frc9738","36"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm4","qm","1","4","frc3065","frc6738","frc8175","58","frc2230","frc2630","frc3316","23"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm5","qm","1","5","frc2679","frc3339","frc7067","40","frc3083","frc5654","frc5951","46"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm6","qm","1","6","frc4338","frc5715","frc7177","33","frc5135","frc5990","frc6230","31"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm7","qm","1","7","frc2230","frc4319","frc8175","13","frc1942","frc3083","frc9740","44"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm8","qm","1","8","frc1576","frc2630","frc7067","36","frc2679","frc3065","frc4320","38"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm9","qm","1","9","frc3316","frc6738","frc9738","43","frc1577","frc1580","frc5715","71"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm10","qm","1","10","frc1574","frc3211","frc9303","35","frc3339","frc5951","frc6740","86"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm11","qm","1","11","frc4319","frc5654","frc9740","43","frc1690","frc3083","frc6230","49"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm12","qm","1","12","frc1576","frc2230","frc3339","41","frc5135","frc6740","frc9303","28"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm13","qm","1","13","frc2679","frc3211","frc3316","13","frc2630","frc5990","frc9738","64"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm14","qm","1","14","frc1690","frc5951","frc7177","81","frc5715","frc6738","frc7067","36"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm15","qm","1","15","frc3065","frc4320","frc5654","35","frc1574","frc1577","frc8175","52"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm16","qm","1","16","frc1942","frc6230","frc7067","37","frc1580","frc3316","frc4338","26"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm17","qm","1","17","frc2679","frc5951","frc9740","53","frc1690","frc5990","frc6738","94"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm18","qm","1","18","frc1942","frc3339","frc4320","68","frc3083","frc8175","frc9738","44"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm19","qm","1","19","frc1577","frc4319","frc6740","44","frc1576","frc2630","frc9303","45"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm20","qm","1","20","frc2230","frc5135","frc5654","29","frc1574","frc1580","frc7177","35"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm21","qm","1","21","frc3211","frc5715","frc5951","55","frc1577","frc3065","frc4338","37"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm22","qm","1","22","frc1690","frc3316","frc5135","76","frc1580","frc4320","frc7067","30"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm23","qm","1","23","frc5990","frc6740","frc8175","43","frc1574","frc5654","frc6738","51"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm24","qm","1","24","frc1576","frc5715","frc9738","53","frc3211","frc6230","frc9740","8"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm25","qm","1","25","frc3083","frc4338","frc9303","19","frc1942","frc2230","frc2679","36"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm26","qm","1","26","frc3065","frc3339","frc7177","42","frc2630","frc4319","frc4320","32"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm27","qm","1","27","frc1942","frc5135","frc6738","60","frc1577","frc6230","frc9303","12"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm28","qm","1","28","frc2230","frc3065","frc9738","29","frc1576","frc4338","frc5654","40"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm29","qm","1","29","frc3083","frc3316","frc5715","40","frc1574","frc3211","frc4319","58"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm30","qm","1","30","frc1580","frc1690","frc6740","68","frc3339","frc7067","frc9740","53"
"2024isde1","ISR #1","2024-02-24","2024-02-26","2024isde1_qm31","qm","1","31","frc5951","frc5990","frc7177","45","frc2630","frc2679","frc8175","35"
