"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm1","qm","1","1","red","frc1729","frc319","frc69","frc20","frc2342","frc2621"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm2","qm","1","2","blue","frc176","frc1824","frc3566","frc151","frc78","frc836"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm3","qm","1","3","red","frc131","frc175","frc241","frc1073","frc1512","frc1721"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm4","qm","1","4","blue","frc1247","frc1277","frc40","frc1519","frc213","frc61"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm5","qm","1","5","red","frc1922","frc238","frc3467","frc1138","frc1493","frc3451"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm6","qm","1","6","red","frc126","frc133","frc95","frc166","frc3585","frc501"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm7","qm","1","7","blue","frc1058","frc509","frc562","frc134","frc172","frc885"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm8","qm","1","8","red","frc3074","frc58","frc811","frc138","frc1831","frc3323"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm9","qm","1","9","blue","frc1289","frc1307","frc241","frc1517","frc2010","frc3451"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm10","qm","1","10","blue","frc1493","frc2621","frc3467","frc1247","frc20","frc501"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm11","qm","1","11","red","frc1519","frc3566","frc78","frc126","frc166","frc69"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm12","qm","1","12","blue","frc133","frc1824","frc3074","frc1058","frc175","frc2342"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm13","qm","1","13","red","frc138","frc1729","frc58","frc1138","frc1307","frc509"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm14","qm","1","14","red","frc131","frc1831","frc836","frc562","frc61","frc885"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm15","qm","1","15","blue","frc1073","frc213","frc3585","frc134","frc176","frc811"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm16","qm","1","16","red","frc1922","frc319","frc95","frc1289","frc151","frc3323"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm17","qm","1","17","red","frc1512","frc1517","frc172","frc1277","frc2010","frc238"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm18","qm","1","18","red","frc138","frc166","frc40","frc1058","frc1721","frc1824"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm19","qm","1","19","blue","frc1138","frc213","frc2342","frc1307","frc3451","frc885"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm20","qm","1","20","red","frc1289","frc131","frc501","frc241","frc3074","frc509"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm21","qm","1","21","blue","frc176","frc20","frc238","frc126","frc134","frc562"
"2011nh","BAE Systems/Granite State","2011-03-03","2011-03-05","2011nh_qm22","qm","1","22","blue","frc1073","frc1831","frc2621","frc1519","frc3467","frc40"
