"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm1","qm","1","1","blue","frc1104","frc937","","frc877","frc936",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm2","qm","1","2","blue","frc1090","frc939","","frc1067","frc476",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm3","qm","1","3","blue","frc755","frc906","","frc16","frc538",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm4","qm","1","4","blue","frc1020","frc868","","frc1098","frc1178",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm5","qm","1","5","blue","frc1215","frc356","","frc1005","frc770",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm6","qm","1","6","blue","frc1209","frc878","","frc1208","frc1210",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm7","qm","1","7","red","frc393","frc935","","frc447","frc650",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm8","qm","1","8","red","frc1094","frc931","","frc829","frc876",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm9","qm","1","9","blue","frc1101","frc1182","","frc171","frc938",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm10","qm","1","10","blue","frc765","frc941","","frc442","frc525",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm11","qm","1","11","blue","frc513","frc764","","frc1018","frc1024",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm12","qm","1","12","red","frc879","frc940","","frc648","frc875",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm13","qm","1","13","red","frc1028","frc967","","frc31","frc982",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm14","qm","1","14","blue","frc45","frc880","","frc547","frc755",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm15","qm","1","15","red","frc1178","frc877","","frc1020","frc906",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm16","qm","1","16","blue","frc1005","frc476","","frc356","frc868",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm17","qm","1","17","red","frc1208","frc538","","frc1215","frc878",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm18","qm","1","18","red","frc1098","frc447","","frc1209","frc393",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm19","qm","1","19","blue","frc770","frc876","","frc931","frc935",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm20","qm","1","20","red","frc1210","frc171","","frc1094","frc1182",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm21","qm","1","21","red","frc442","frc650","","frc1101","frc765",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm22","qm","1","22","red","frc1024","frc829","","frc764","frc941",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm23","qm","1","23","blue","frc875","frc938","","frc513","frc879",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm24","qm","1","24","red","frc31","frc525","","frc1028","frc940",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm25","qm","1","25","red","frc547","frc936","","frc1018","frc967",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm26","qm","1","26","red","frc1104","frc45","","frc1067","frc648",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm27","qm","1","27","blue","frc880","frc937","","frc939","frc982",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm28","qm","1","28","red","frc1090","frc16","","frc1098","frc1208",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm29","qm","1","29","red","frc356","frc906","","frc447","frc770",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm30","qm","1","30","red","frc868","frc878","","frc1210","frc876",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm31","qm","1","31","blue","frc1215","frc393","","frc171","frc650",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm32","qm","1","32","blue","frc1209","frc931","","frc442","frc829",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm33","qm","1","33","red","frc1182","frc935","","frc1024","frc938",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm34","qm","1","34","blue","frc1094","frc765","","frc525","frc875",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm35","qm","1","35","blue","frc1101","frc764","","frc31","frc936",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm36","qm","1","36","blue","frc879","frc941","","frc1104","frc547",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm37","qm","1","37","blue","frc1028","frc513","","frc45","frc937",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm38","qm","1","38","red","frc940","frc967","","frc1090","frc880",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm39","qm","1","39","blue","frc1018","frc648","","frc16","frc877",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm40","qm","1","40","blue","frc1067","frc1178","","frc476","frc982",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm41","qm","1","41","blue","frc755","frc939","","frc1005","frc538",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm42","qm","1","42","blue","frc1020","frc1210","","frc1209","frc356",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm43","qm","1","43","red","frc650","frc876","","frc878","frc935",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm44","qm","1","44","red","frc171","frc829","","frc1094","frc393",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm45","qm","1","45","blue","frc442","frc938","","frc1101","frc931",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm46","qm","1","46","red","frc1024","frc525","","frc1182","frc941",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm47","qm","1","47","red","frc875","frc936","","frc513","frc765",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm48","qm","1","48","blue","frc1104","frc31","","frc764","frc940",""
"2003mo","St. Louis","2003-03-06","2003-03-08","2003mo_qm49","qm","1","49","blue","frc547","frc937","","frc1018","frc879",""
