"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm1","qm","1","1","red","frc1178","frc148","frc1706","frc1098","frc1658","frc45"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm2","qm","1","2","red","frc1182","frc1723","frc217","frc1208","frc1747","frc292"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm3","qm","1","3","blue","frc1250","frc1752","frc461","frc1288","frc1769","frc525"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm4","qm","1","4","red","frc1329","frc1985","frc829","frc1315","frc1939","frc547"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm5","qm","1","5","red","frc1444","frc1986","frc830","frc1451","frc2011","frc868"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm6","qm","1","6","red","frc1502","frc2133","frc931","frc1472","frc2014","frc888"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm7","qm","1","7","","frc1602","frc2167","frc939","frc1625","frc2177","frc967"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm8","qm","1","8","blue","frc1094","frc1646","frc2219","frc1178","frc1723","frc45"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm9","qm","1","9","blue","frc1208","frc1752","frc217","frc1182","frc148","frc1747"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm10","qm","1","10","red","frc1288","frc1939","frc461","frc1250","frc1769","frc292"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm11","qm","1","11","red","frc1329","frc1986","frc547","frc1315","frc1985","frc525"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm12","qm","1","12","red","frc1444","frc2011","frc829","frc1451","frc2014","frc830"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm13","qm","1","13","red","frc1502","frc2167","frc888","frc1472","frc2133","frc868"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm14","qm","1","14","blue","frc1625","frc2219","frc939","frc1602","frc2177","frc931"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm15","qm","1","15","blue","frc1646","frc1658","frc967","frc1094","frc1098","frc1706"
"2007mo","St Louis","2007-03-01","2007-03-03","2007mo_qm16","qm","1","16","red","frc1208","frc148","frc1769","frc1182","frc1752","frc45"
