"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm1","qm","1","1","blue","frc3138","frc4143","frc4296","frc1208","frc2481","frc2704"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm2","qm","1","2","blue","frc2040","frc4256","frc648","frc1756","frc2081","frc525"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm3","qm","1","3","red","frc2451","frc292","frc4213","frc1764","frc2194","frc3284"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm4","qm","1","4","blue","frc167","frc2039","frc4329","frc1986","frc4196","frc5041"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm5","qm","1","5","blue","frc1806","frc2022","frc4655","frc1094","frc2164","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm6","qm","1","6","blue","frc1091","frc1747","frc4786","frc171","frc1736","frc4212"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm7","qm","1","7","blue","frc167","frc1739","frc3352","frc1288","frc1756","frc4330"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm8","qm","1","8","red","frc2481","frc4143","frc525","frc1764","frc2040","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm9","qm","1","9","red","frc1736","frc2164","frc4256","frc1091","frc4196","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm10","qm","1","10","blue","frc1094","frc1208","frc5041","frc2451","frc4212","frc4786"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm11","qm","1","11","blue","frc1739","frc1986","frc4655","frc1806","frc3138","frc4329"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm12","qm","1","12","red","frc2081","frc2704","frc648","frc3284","frc4213","frc4330"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm13","qm","1","13","blue","frc1288","frc2194","frc3352","frc1747","frc2039","frc4296"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm14","qm","1","14","blue","frc171","frc1739","frc5041","frc2022","frc2451","frc2481"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm15","qm","1","15","red","frc1756","frc4212","frc4329","frc2081","frc4330","frc4655"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm16","qm","1","16","red","frc1736","frc3352","frc967","frc292","frc3284","frc4786"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm17","qm","1","17","red","frc2704","frc3138","frc525","frc1288","frc167","frc1806"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm18","qm","1","18","blue","frc2164","frc4296","frc648","frc1091","frc1094","frc1986"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm19","qm","1","19","red","frc1208","frc1747","frc1764","frc2022","frc4196","frc4256"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm20","qm","1","20","blue","frc2039","frc2194","frc4213","frc171","frc2040","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm21","qm","1","21","blue","frc1986","frc2481","frc4330","frc1736","frc3284","frc4296"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm22","qm","1","22","blue","frc1747","frc1756","frc4196","frc1288","frc2704","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm23","qm","1","23","blue","frc171","frc4256","frc4329","frc2040","frc2451","frc4655"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm24","qm","1","24","blue","frc1094","frc2194","frc4212","frc3138","frc3352","frc5041"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm25","qm","1","25","red","frc1764","frc525","frc967","frc1208","frc1739","frc2081"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm26","qm","1","26","red","frc1091","frc167","frc2022","frc4213","frc4786","frc648"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm27","qm","1","27","red","frc1806","frc2164","frc4212","frc1756","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm28","qm","1","28","red","frc1747","frc3138","frc3284","frc1764","frc4329","frc4330"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm29","qm","1","29","blue","frc1094","frc2451","frc2704","frc1736","frc2040","frc525"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm30","qm","1","30","blue","frc167","frc2481","frc292","frc2039","frc2081","frc3352"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm31","qm","1","31","blue","frc2164","frc4196","frc4213","frc1986","frc648","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm32","qm","1","32","red","frc1739","frc1806","frc4143","frc1091","frc171","frc4296"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm33","qm","1","33","red","frc1288","frc4256","frc4655","frc2022","frc2194","frc4786"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm34","qm","1","34","red","frc1208","frc167","frc1736","frc2481","frc4329","frc5041"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm35","qm","1","35","blue","frc2451","frc4330","frc525","frc2039","frc3138","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm36","qm","1","36","red","frc1764","frc2081","frc4786","frc1739","frc2164","frc2704"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm37","qm","1","37","blue","frc2194","frc4196","frc648","frc1756","frc4296","frc5041"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm38","qm","1","38","red","frc1208","frc3284","frc4655","frc1091","frc1288","frc2040"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm39","qm","1","39","blue","frc171","frc2022","frc3352","frc1986","frc4143","frc4212"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm40","qm","1","40","red","frc1806","frc4213","frc4256","frc1094","frc1747","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm41","qm","1","41","blue","frc1091","frc2039","frc2164","frc1739","frc3284","frc525"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm42","qm","1","42","red","frc1736","frc2022","frc4329","frc2194","frc2704","frc4296"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm43","qm","1","43","blue","frc1764","frc3352","frc648","frc1208","frc171","frc1806"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm44","qm","1","44","blue","frc4786","frc5041","frc967","frc1747","frc2040","frc2081"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm45","qm","1","45","blue","frc1094","frc4143","frc4330","frc167","frc2451","frc4196"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm46","qm","1","46","blue","frc2481","frc4212","frc4256","frc1288","frc1986","frc4213"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm47","qm","1","47","blue","frc1091","frc3138","frc4655","frc1756","frc2022","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm48","qm","1","48","blue","frc2040","frc4296","frc967","frc167","frc4143","frc4786"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm49","qm","1","49","red","frc171","frc1764","frc4196","frc2704","frc4212","frc4330"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm50","qm","1","50","red","frc1208","frc2039","frc525","frc1094","frc4213","frc4655"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm51","qm","1","51","","frc1756","frc1806","frc3284","frc1736","frc2194","frc5041"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm52","qm","1","52","red","frc1747","frc1986","frc4256","frc1739","frc292","frc648"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm53","qm","1","53","blue","frc1288","frc2451","frc4329","frc2164","frc2481","frc3352"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm54","qm","1","54","blue","frc1094","frc2022","frc3138","frc2081","frc3284","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm55","qm","1","55","red","frc1091","frc1764","frc2704","frc2039","frc4655","frc5041"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm56","qm","1","56","red","frc1756","frc1986","frc2194","frc1208","frc4256","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm57","qm","1","57","red","frc1806","frc4330","frc648","frc2040","frc2481","frc4786"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm58","qm","1","58","blue","frc167","frc4212","frc4296","frc1747","frc2164","frc525"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm59","qm","1","59","red","frc292","frc3352","frc4196","frc1739","frc4213","frc4329"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm60","qm","1","60","red","frc171","frc2081","frc2451","frc1288","frc1736","frc3138"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm61","qm","1","61","blue","frc1756","frc2164","frc4655","frc1747","frc2481","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm62","qm","1","62","blue","frc4143","frc4213","frc5041","frc1739","frc4256","frc4330"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm63","qm","1","63","blue","frc1288","frc2081","frc4296","frc1094","frc1764","frc1806"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm64","qm","1","64","red","frc171","frc4786","frc525","frc3284","frc4196","frc4329"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm65","qm","1","65","red","frc1736","frc2039","frc292","frc1208","frc3138","frc648"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm66","qm","1","66","red","frc167","frc1986","frc2704","frc1091","frc2451","frc3352"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm67","qm","1","67","blue","frc1739","frc2040","frc2194","frc2022","frc4212","frc525"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm68","qm","1","68","red","frc2039","frc2481","frc4196","frc2081","frc3138","frc4256"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm69","qm","1","69","blue","frc292","frc4296","frc4655","frc1094","frc167","frc171"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm70","qm","1","70","blue","frc4143","frc4329","frc967","frc1288","frc1747","frc648"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm71","qm","1","71","red","frc1736","frc1756","frc2451","frc1764","frc4212","frc4213"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm72","qm","1","72","blue","frc2040","frc2704","frc5041","frc1986","frc2022","frc2164"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm73","qm","1","73","blue","frc1208","frc4330","frc4786","frc1091","frc1806","frc2194"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm74","qm","1","74","blue","frc3284","frc4212","frc648","frc3352","frc4256","frc4296"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm75","qm","1","75","blue","frc1288","frc2022","frc5041","frc167","frc4213","frc525"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm76","qm","1","76","red","frc171","frc3138","frc4330","frc1208","frc2164","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm77","qm","1","77","red","frc1091","frc2081","frc2481","frc1747","frc2194","frc4329"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm78","qm","1","78","red","frc1806","frc1986","frc4786","frc1764","frc2451","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm79","qm","1","79","blue","frc2040","frc3284","frc3352","frc1736","frc4196","frc4655"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qm80","qm","1","80","blue","frc1094","frc1739","frc2039","frc1756","frc2704","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf1m1","qf","1","1","red","frc1986","frc4296","frc525","frc1208","frc167","frc4256"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf1m2","qf","1","2","red","frc1986","frc4296","frc525","frc1208","frc167","frc4256"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf2m1","qf","2","1","red","frc1288","frc1756","frc967","frc1747","frc3138","frc3284"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf2m2","qf","2","2","red","frc1288","frc1756","frc967","frc1747","frc3138","frc3284"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf3m1","qf","3","1","blue","frc1736","frc2481","frc4213","frc2022","frc2081","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf3m2","qf","3","2","red","frc1736","frc2481","frc4213","frc2022","frc2081","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf3m3","qf","3","3","blue","frc1736","frc2481","frc4213","frc2022","frc2081","frc292"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf4m1","qf","4","1","red","frc1094","frc1806","frc2451","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf4m2","qf","4","2","blue","frc1094","frc1806","frc2451","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_qf4m3","qf","4","3","blue","frc1094","frc1806","frc2451","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_sf1m1","sf","1","1","red","frc1986","frc4296","frc525","frc1288","frc1756","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_sf1m2","sf","1","2","red","frc1986","frc4296","frc525","frc1288","frc1756","frc967"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_sf2m1","sf","2","1","blue","frc2022","frc2081","frc292","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_sf2m2","sf","2","2","blue","frc2022","frc2081","frc292","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_f1m1","f","1","1","blue","frc1986","frc4296","frc525","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_f1m2","f","1","2","red","frc1986","frc4296","frc525","frc171","frc2039","frc4143"
"2014ilil","Central Illinois","2014-02-27","2014-03-01","2014ilil_f1m3","f","1","3","red","frc1986","frc4296","frc525","frc171","frc2039","frc4143"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm1","qm","1","1","blue","frc4083","frc4451","frc5063","frc1051","frc4073","frc4823"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm2","qm","1","2","red","frc1758","frc2614","frc3976","frc2641","frc2974","frc4576"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm3","qm","1","3","blue","frc2815","frc343","frc4243","frc2059","frc3571","frc4468"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm4","qm","1","4","blue","frc1287","frc4582","frc4901","frc1539","frc4074","frc4748"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm5","qm","1","5","red","frc2187","frc3490","frc900","frc4075","frc5130","frc5317"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm6","qm","1","6","","frc3196","frc346","frc5020","frc1311","frc4533","frc4902"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm7","qm","1","7","red","frc1225","frc2655","frc5337","frc342","frc3459","frc5327"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm8","qm","1","8","blue","frc1413","frc1772","frc4267","frc2200","frc4452","frc4935"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm9","qm","1","9","blue","frc1398","frc4516","frc4847","frc1648","frc3140","frc4489"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm10","qm","1","10","blue","frc1024","frc4505","frc4976","frc1293","frc1553","frc3489"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm11","qm","1","11","red","frc1319","frc1876","frc3824","frc1261","frc4965","frc5180"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm12","qm","1","12","blue","frc1311","frc281","frc4074","frc2187","frc2641","frc343"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm13","qm","1","13","blue","frc2815","frc4267","frc4748","frc4451","frc4576","frc5327"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm14","qm","1","14","blue","frc1758","frc4489","frc4935","frc1287","frc4902","frc5317"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm15","qm","1","15","blue","frc2974","frc3196","frc4075","frc1413","frc1539","frc4516"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm16","qm","1","16","red","frc1051","frc1319","frc2059","frc1293","frc1398","frc1648"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm17","qm","1","17","red","frc1225","frc3824","frc4452","frc4823","frc4901","frc4976"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm18","qm","1","18","blue","frc1772","frc3140","frc3459","frc1553","frc1876","frc900"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm19","qm","1","19","blue","frc4083","frc4965","frc5020","frc1024","frc2655","frc4243"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm20","qm","1","20","red","frc2200","frc3976","frc5337","frc3489","frc3571","frc5180"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm21","qm","1","21","red","frc1261","frc346","frc4073","frc3490","frc4468","frc4847"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm22","qm","1","22","red","frc2614","frc342","frc4582","frc4505","frc4533","frc5130"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm23","qm","1","23","blue","frc2059","frc5063","frc900","frc1413","frc281","frc3824"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm24","qm","1","24","red","frc1024","frc1311","frc4576","frc1225","frc1539","frc4823"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm25","qm","1","25","blue","frc2815","frc4075","frc4901","frc1758","frc2200","frc2655"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm26","qm","1","26","red","frc1293","frc343","frc5327","frc3196","frc4083","frc4935"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm27","qm","1","27","blue","frc2641","frc5020","frc5180","frc3490","frc4451","frc5317"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm28","qm","1","28","blue","frc3489","frc4902","frc5063","frc1648","frc4267","frc4965"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm29","qm","1","29","blue","frc281","frc3571","frc4073","frc1876","frc4505","frc4582"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm30","qm","1","30","red","frc1261","frc4074","frc4243","frc2614","frc4489","frc5130"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm31","qm","1","31","red","frc1051","frc1772","frc4847","frc1287","frc1319","frc2974"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm32","qm","1","32","red","frc4533","frc4748","frc4976","frc3140","frc3976","frc4468"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm33","qm","1","33","blue","frc1398","frc342","frc5337","frc1553","frc2187","frc346"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm34","qm","1","34","blue","frc4452","frc4516","frc5020","frc3459","frc4073","frc4576"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm35","qm","1","35","blue","frc3196","frc5130","frc5180","frc2059","frc2655","frc4823"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm36","qm","1","36","red","frc1648","frc2614","frc3571","frc1225","frc1293","frc5317"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm37","qm","1","37","red","frc1413","frc1758","frc343","frc3489","frc4582","frc4847"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm38","qm","1","38","blue","frc1311","frc1398","frc4468","frc1772","frc4901","frc5337"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm39","qm","1","39","red","frc1876","frc4902","frc5327","frc1024","frc4074","frc4452"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm40","qm","1","40","red","frc1319","frc1539","frc4075","frc3459","frc3976","frc4451"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm41","qm","1","41","red","frc1287","frc2200","frc4505","frc1261","frc2187","frc4083"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm42","qm","1","42","red","frc1051","frc1553","frc4267","frc2641","frc4489","frc4748"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm43","qm","1","43","red","frc281","frc3140","frc900","frc2815","frc342","frc4965"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm44","qm","1","44","red","frc4935","frc4976","frc5063","frc2974","frc3490","frc4533"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm45","qm","1","45","blue","frc1648","frc4243","frc4516","frc1772","frc346","frc3824"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm46","qm","1","46","blue","frc1398","frc4083","frc4576","frc1413","frc4074","frc5180"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm47","qm","1","47","red","frc2059","frc4452","frc4489","frc4451","frc4505","frc5020"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm48","qm","1","48","blue","frc4267","frc4582","frc900","frc1225","frc1319","frc3196"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm49","qm","1","49","red","frc1261","frc3571","frc5130","frc1311","frc1758","frc5327"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm50","qm","1","50","red","frc1024","frc2187","frc4073","frc3976","frc4901","frc4935"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm51","qm","1","51","blue","frc343","frc4533","frc5317","frc1051","frc1876","frc4075"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm52","qm","1","52","red","frc1287","frc1293","frc2655","frc3140","frc346","frc5063"
"2014scmb","Palmetto","2014-02-27","2014-03-01","2014scmb_qm53","qm","1","53","red","frc1539","frc1553","frc2815","frc2614","frc4823","frc4847"
