"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm1","qm","1","1","red","frc1523","frc59","frc744","frc2641","frc4707","frc8817"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm2","qm","1","2","red","frc3627","frc5410","frc7652","frc2183","frc7442","frc8324"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm3","qm","1","3","red","frc179","frc21","frc3164","frc2168","frc6686","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm4","qm","1","4","red","frc4206","frc4481","frc5472","frc108","frc4592","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm5","qm","1","5","blue","frc2190","frc7833","frc8754","frc348","frc3932","frc4471"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm6","qm","1","6","blue","frc1523","frc1592","frc1744","frc2183","frc2383","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm7","qm","1","7","blue","frc4707","frc5842","frc8324","frc2641","frc3164","frc4206"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm8","qm","1","8","red","frc4481","frc4592","frc7652","frc2190","frc59","frc6686"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm9","qm","1","9","red","frc21","frc5472","frc7442","frc1592","frc3932","frc8754"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm10","qm","1","10","red","frc108","frc2168","frc2383","frc4471","frc5410","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm11","qm","1","11","blue","frc1744","frc3627","frc744","frc179","frc348","frc8817"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm12","qm","1","12","red","frc4481","frc6686","frc8754","frc1523","frc2641","frc8324"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm13","qm","1","13","blue","frc21","frc2190","frc4592","frc2383","frc3164","frc5410"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm14","qm","1","14","red","frc1744","frc2168","frc348","frc4471","frc59","frc7442"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm15","qm","1","15","red","frc2183","frc5472","frc8817","frc108","frc3932","frc7652"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm16","qm","1","16","blue","frc4707","frc7403","frc7833","frc179","frc3627","frc4206"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm17","qm","1","17","blue","frc1592","frc2383","frc744","frc3164","frc4481","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm18","qm","1","18","blue","frc2641","frc4592","frc7442","frc1744","frc2183","frc7652"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm19","qm","1","19","blue","frc108","frc1523","frc8754","frc2168","frc4206","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm20","qm","1","20","red","frc5410","frc5842","frc59","frc3627","frc4707","frc6686"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm21","qm","1","21","red","frc179","frc4471","frc5472","frc21","frc744","frc8817"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm22","qm","1","22","blue","frc1592","frc348","frc7403","frc2190","frc3932","frc8324"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm23","qm","1","23","blue","frc1744","frc2383","frc6686","frc2183","frc4206","frc59"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm24","qm","1","24","red","frc2168","frc4707","frc5472","frc4481","frc5410","frc8817"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm25","qm","1","25","blue","frc1592","frc4471","frc8324","frc1523","frc3627","frc4592"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm26","qm","1","26","blue","frc108","frc2641","frc7403","frc179","frc2190","frc7442"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm27","qm","1","27","blue","frc21","frc5842","frc8754","frc348","frc744","frc7652"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm28","qm","1","28","red","frc1523","frc3932","frc7833","frc3164","frc5472","frc59"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm29","qm","1","29","blue","frc108","frc2641","frc4471","frc3627","frc4481","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm30","qm","1","30","red","frc4206","frc5842","frc7652","frc1744","frc5410","frc8324"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm31","qm","1","31","","frc3164","frc3932","frc6686","frc2168","frc744","frc7442"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm32","qm","1","32","red","frc2383","frc4592","frc8817","frc348","frc4707","frc8754"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm33","qm","1","33","blue","frc21","frc2183","frc2190","frc1592","frc179","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm34","qm","1","34","blue","frc1523","frc6686","frc7652","frc108","frc3164","frc3627"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm35","qm","1","35","red","frc2168","frc4592","frc8754","frc2383","frc5472","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm36","qm","1","36","red","frc2190","frc2641","frc348","frc1744","frc21","frc4206"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm37","qm","1","37","red","frc179","frc3932","frc5410","frc1592","frc59","frc8817"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm38","qm","1","38","blue","frc4471","frc7403","frc744","frc2183","frc4481","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm39","qm","1","39","red","frc21","frc2383","frc8324","frc1523","frc4707","frc7442"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm40","qm","1","40","red","frc1592","frc4206","frc5410","frc2641","frc7652","frc8754"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm41","qm","1","41","blue","frc3164","frc4471","frc8817","frc2190","frc5842","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm42","qm","1","42","blue","frc108","frc4481","frc7442","frc179","frc4707","frc59"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm43","qm","1","43","red","frc5472","frc744","frc7833","frc2183","frc348","frc6686"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm44","qm","1","44","red","frc2168","frc3627","frc8324","frc1744","frc3932","frc4592"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm45","qm","1","45","blue","frc3164","frc4707","frc7652","frc1523","frc2190","frc4471"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm46","qm","1","46","blue","frc4206","frc6686","frc8817","frc2383","frc7442","frc8754"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm47","qm","1","47","red","frc4592","frc5410","frc5472","frc1744","frc2641","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm48","qm","1","48","blue","frc1592","frc2183","frc5842","frc108","frc179","frc744"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm49","qm","1","49","red","frc4481","frc59","frc8324","frc21","frc2168","frc3932"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm50","qm","1","50","blue","frc2383","frc348","frc3627","frc1523","frc5472","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm51","qm","1","51","red","frc179","frc5842","frc6686","frc1592","frc4592","frc4707"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm52","qm","1","52","red","frc3932","frc4206","frc7442","frc21","frc4471","frc7652"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm53","qm","1","53","blue","frc1744","frc59","frc7403","frc5410","frc744","frc8754"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm54","qm","1","54","blue","frc2183","frc2641","frc3627","frc2168","frc2190","frc4481"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm55","qm","1","55","blue","frc3164","frc348","frc7833","frc108","frc8324","frc8817"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm56","qm","1","56","blue","frc3932","frc4707","frc744","frc4206","frc4592","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm57","qm","1","57","red","frc2168","frc2183","frc4471","frc2641","frc5410","frc6686"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm58","qm","1","58","red","frc179","frc7652","frc8324","frc2383","frc59","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm59","qm","1","59","blue","frc3627","frc8754","frc8817","frc1592","frc21","frc4481"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm60","qm","1","60","blue","frc1744","frc2190","frc3164","frc108","frc348","frc5472"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm61","qm","1","61","blue","frc7403","frc7442","frc7652","frc1523","frc2168","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm62","qm","1","62","blue","frc2641","frc3932","frc59","frc2383","frc4471","frc4707"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm63","qm","1","63","red","frc1744","frc179","frc4481","frc3164","frc8324","frc8754"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm64","qm","1","64","red","frc108","frc2183","frc5410","frc1523","frc21","frc348"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm65","qm","1","65","red","frc2190","frc4206","frc744","frc1592","frc3627","frc5472"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qm66","qm","1","66","red","frc5842","frc7442","frc8817","frc4592","frc6686","frc7833"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf1m1","qf","1","1","red","frc179","frc4481","frc4592","frc3164","frc6686","frc744"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf1m2","qf","1","2","red","frc179","frc4481","frc4592","frc3164","frc6686","frc744"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf2m1","qf","2","1","blue","frc2183","frc3932","frc8324","frc21","frc3627","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf2m2","qf","2","2","red","frc2183","frc3932","frc8324","frc21","frc3627","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf2m3","qf","2","3","red","frc2183","frc3932","frc8324","frc21","frc3627","frc5842"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf3m1","qf","3","1","red","frc2168","frc2641","frc4206","frc1523","frc2190","frc59"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf3m2","qf","3","2","red","frc2168","frc2641","frc4206","frc1523","frc2190","frc59"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf4m1","qf","4","1","red","frc2383","frc5472","frc7403","frc108","frc5410","frc7652"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_qf4m2","qf","4","2","red","frc2383","frc5472","frc7403","frc108","frc5410","frc7652"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_sf1m1","sf","1","1","red","frc179","frc4481","frc4592","frc2183","frc3932","frc8324"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_sf1m2","sf","1","2","red","frc179","frc4481","frc4592","frc2183","frc3932","frc8324"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_sf2m1","sf","2","1","red","frc2168","frc2641","frc4206","frc2383","frc5472","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_sf2m2","sf","2","2","red","frc2168","frc2641","frc4206","frc2383","frc5472","frc7403"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_f1m1","f","1","1","red","frc179","frc4481","frc4592","frc2168","frc2641","frc4206"
"2022flwp","South Florida","2022-03-02","2022-03-05","2022flwp_f1m2","f","1","2","red","frc179","frc4481","frc4592","frc2168","frc2641","frc4206"
"2022mndu","Lake Superior","2022-03-02","2022-03-05","2022mndu_qm1","qm","1","1","blue","frc3294","frc4741","frc5464","frc2052","frc4656","frc6574"
"2022mndu","Lake Superior","2022-03-02","2022-03-05","2022mndu_qm2","qm","1","2","blue","frc2239","frc5348","frc5690","frc2861","frc3122","frc876"
"2022mndu","Lake Superior","2022-03-02","2022-03-05","2022mndu_qm3","qm","1","3","blue","frc2175","frc2531","frc3058","frc4009","frc6217","frc7893"
"2022mndu","Lake Superior","2022-03-02","2022-03-05","2022mndu_qm4","qm","1","4","blue","frc2501","frc5253","frc5847","frc2503","frc3134","frc5653"
"2022mndu","Lake Superior","2022-03-02","2022-03-05","2022mndu_qm5","qm","1","5","red","frc6160","frc7068","frc7797","frc2977","frc3102","frc3275"
