"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm1","qm","1","1","frc1739","frc1781","frc2386","20","frc101","frc48","frc843","0"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm2","qm","1","2","frc2112","frc2462","frc648","6","frc1243","frc2433","frc448","52"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm3","qm","1","3","frc2490","frc71","frc9","34","frc16","frc1625","frc1850","62"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm4","qm","1","4","frc1114","frc1755","frc503","74","frc1024","frc1525","frc1982","52"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm5","qm","1","5","frc2358","frc2381","frc468","24","frc1327","frc1504","frc33","52"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm6","qm","1","6","frc1038","frc2022","frc2115","18","frc111","frc2364","frc519","18"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm7","qm","1","7","frc1675","frc2041","frc2533","46","frc2039","frc2338","frc2432","2"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm8","qm","1","8","frc16","frc648","frc843","20","frc101","frc2112","frc9","26"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm9","qm","1","9","frc1024","frc1781","frc448","50","frc1243","frc1625","frc71","54"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm10","qm","1","10","frc1525","frc2386","frc48","64","frc1504","frc1982","frc2490","24"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm11","qm","1","11","frc111","frc1739","frc1755","18","frc2115","frc468","frc519","16"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm12","qm","1","12","frc1038","frc33","frc503","48","frc1327","frc2432","frc2533","2"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm13","qm","1","13","frc1850","frc2338","frc2462","8","frc1114","frc1675","frc2039","36"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm14","qm","1","14","frc2022","frc2041","frc2358","48","frc2364","frc2381","frc2433","24"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm15","qm","1","15","frc1243","frc1525","frc16","32","frc1024","frc48","frc648","56"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm16","qm","1","16","frc111","frc2490","frc468","0","frc1625","frc448","frc9","46"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm17","qm","1","17","frc2115","frc2533","frc71","20","frc101","frc1755","frc2432","20"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm18","qm","1","18","frc1739","frc1850","frc519","6","frc1114","frc1327","frc2338","100"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm19","qm","1","19","frc1038","frc1675","frc2433","50","frc2386","frc33","frc843","42"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm20","qm","1","20","frc2039","frc2462","frc503","40","frc1504","frc2022","frc2364","20"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm21","qm","1","21","frc1982","frc2112","frc2358","26","frc1781","frc2041","frc2381","0"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm22","qm","1","22","frc111","frc1243","frc2432","80","frc1625","frc468","frc648","2"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm23","qm","1","23","frc1327","frc1850","frc448","16","frc1755","frc2533","frc48","30"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm24","qm","1","24","frc101","frc1114","frc2433","104","frc1024","frc1038","frc9","50"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm25","qm","1","25","frc16","frc1739","frc33","0","frc1525","frc1675","frc2022","32"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm26","qm","1","26","frc2381","frc71","frc843","48","frc2358","frc2462","frc519","32"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm27","qm","1","27","frc1504","frc2386","frc503","38","frc1781","frc2039","frc2112","18"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm28","qm","1","28","frc1982","frc2041","frc2364","36","frc2115","frc2338","frc2490","6"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm29","qm","1","29","frc448","frc468","frc48","20","frc1038","frc1114","frc2432","42"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm30","qm","1","30","frc101","frc1327","frc1625","56","frc111","frc1675","frc648","46"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm31","qm","1","31","frc16","frc1755","frc9","78","frc2022","frc2462","frc33","30"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm32","qm","1","32","frc1243","frc1504","frc2381","4","frc1850","frc503","frc843","16"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm33","qm","1","33","frc1525","frc1781","frc2533","22","frc2041","frc2490","frc519","10"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm34","qm","1","34","frc1024","frc2039","frc2386","66","frc1739","frc2115","frc2358","36"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm35","qm","1","35","frc2112","frc2338","frc2364","30","frc1982","frc2433","frc71","30"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm36","qm","1","36","frc101","frc33","frc468","12","frc2022","frc48","frc9","60"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm37","qm","1","37","frc16","frc1675","frc503","74","frc1038","frc111","frc448","88"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm38","qm","1","38","frc1504","frc1755","frc519","22","frc1243","frc2041","frc648","10"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm39","qm","1","39","frc1781","frc2115","frc2462","62","frc1114","frc1525","frc1850","42"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm40","qm","1","40","frc1024","frc2338","frc2533","54","frc2358","frc2386","frc71","70"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm41","qm","1","41","frc2112","frc2381","frc2432","0","frc1739","frc2364","frc2490","52"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm42","qm","1","42","frc1327","frc1982","frc2039","8","frc1625","frc2433","frc843","32"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm43","qm","1","43","frc101","frc111","frc2041","34","frc1038","frc1243","frc48","34"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm44","qm","1","44","frc1114","frc519","frc648","62","frc1675","frc1781","frc33","86"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm45","qm","1","45","frc16","frc2338","frc2386","60","frc468","frc503","frc71","42"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm46","qm","1","46","frc1504","frc1739","frc9","52","frc1755","frc2358","frc448","52"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm47","qm","1","47","frc2039","frc2433","frc2490","30","frc1327","frc2112","frc2115","4"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm48","qm","1","48","frc1024","frc1850","frc2432","0","frc1982","frc2022","frc843","18"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm49","qm","1","49","frc1625","frc2364","frc2533","56","frc1525","frc2381","frc2462","12"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm50","qm","1","50","frc2041","frc48","frc71","54","frc1675","frc2386","frc468","6"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm51","qm","1","51","frc1243","frc33","frc9","80","frc1038","frc1739","frc2338","20"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm52","qm","1","52","frc1327","frc2433","frc503","16","frc101","frc1781","frc519","40"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm53","qm","1","53","frc2039","frc2115","frc843","18","frc16","frc1982","frc448","58"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm54","qm","1","54","frc1525","frc2364","frc648","8","frc1755","frc1850","frc2381","10"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm55","qm","1","55","frc2432","frc2462","frc2490","40","frc1024","frc111","frc2358","112"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm56","qm","1","56","frc1114","frc1625","frc2022","74","frc1504","frc2112","frc2533","24"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm57","qm","1","57","frc2041","frc2433","frc9","38","frc1739","frc48","frc503","48"
"2008il","Midwest","2008-02-28","2008-03-01","2008il_qm58","qm","1","58","frc1327","frc1675","frc71","44","frc1243","frc1982","frc2115","36"
