"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm1","qm","1","1","frc1553","frc4073","frc4098","52","frc343","frc3489","frc6222","44"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm2","qm","1","2","frc1287","frc4504","frc5327","50","frc4748","frc4965","frc5180","15"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm3","qm","1","3","frc283","frc3490","frc4075","52","frc1296","frc179","frc4823","97"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm4","qm","1","4","frc2252","frc2815","frc900","45","frc4267","frc4992","frc5130","26"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm5","qm","1","5","frc4243","frc4847","frc5777","30","frc1102","frc1539","frc4013","44"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm6","qm","1","6","frc2200","frc237","frc4265","79","frc1398","frc2386","frc5020","27"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm7","qm","1","7","frc342","frc4074","frc5898","44","frc2393","frc4547","frc5409","85"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm8","qm","1","8","frc1369","frc5022","frc5410","47","frc120","frc4582","frc6167","32"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm9","qm","1","9","frc1876","frc2556","frc3976","60","frc4083","frc4533","frc5063","32"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm10","qm","1","10","frc2172","frc2187","frc4451","92","frc1051","frc2614","frc4902","52"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm11","qm","1","11","frc1758","frc3824","frc4965","70","frc1553","frc4901","frc5317","25"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm12","qm","1","12","frc2393","frc4098","frc4847","65","frc1287","frc4265","frc4992","50"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm13","qm","1","13","frc4075","frc5130","frc5898","46","frc4013","frc4073","frc4504","50"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm14","qm","1","14","frc1398","frc1539","frc6167","46","frc283","frc5063","frc5180","72"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm15","qm","1","15","frc2252","frc343","frc5410","100","frc1051","frc2815","frc5777","42"
"2016scmb","Palmetto","2016-02-24","2016-02-27","2016scmb_qm16","qm","1","16","frc2200","frc3489","frc4083","50","frc342","frc5327","frc900","20"
