"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm1","qm","1","1","frc2377","frc48","frc701","4","frc2537","frc3246","frc3340","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm2","qm","1","2","frc207","frc2421","frc2914","1","frc2534","frc3150","frc611","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm3","qm","1","3","frc2962","frc339","frc768","4","frc1418","frc3123","frc614","5"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm4","qm","1","4","frc2641","frc3373","frc620","0","frc116","frc2010","frc2121","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm5","qm","1","5","frc1111","frc1900","frc3283","2","frc1915","frc449","frc623","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm6","qm","1","6","frc1370","frc1885","frc2964","3","frc1024","frc2913","frc3208","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm7","qm","1","7","frc1529","frc1712","frc346","0","frc1829","frc3298","frc612","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm8","qm","1","8","frc1708","frc1727","frc1849","0","frc2363","frc2819","frc45","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm9","qm","1","9","frc1123","frc1446","frc3279","0","frc2900","frc2911","frc2963","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm10","qm","1","10","frc2068","frc3154","frc339","4","frc176","frc2912","frc2961","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm11","qm","1","11","frc1024","frc2964","frc48","0","frc116","frc2914","frc3283","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm12","qm","1","12","frc207","frc2534","frc3123","2","frc1529","frc3373","frc449","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm13","qm","1","13","frc2421","frc2962","frc612","0","frc2363","frc3208","frc620","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm14","qm","1","14","frc1708","frc1829","frc2963","0","frc2900","frc3340","frc623","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm15","qm","1","15","frc1123","frc2641","frc2912","3","frc2537","frc45","frc768","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm16","qm","1","16","frc2377","frc3150","frc614","0","frc1727","frc2121","frc2961","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm17","qm","1","17","frc1849","frc2819","frc3298","0","frc1885","frc1915","frc3246","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm18","qm","1","18","frc1418","frc2010","frc2911","2","frc176","frc346","frc701","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm19","qm","1","19","frc1370","frc1712","frc611","0","frc1111","frc1446","frc2068","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm20","qm","1","20","frc1900","frc2913","frc3123","5","frc3154","frc3279","frc620","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm21","qm","1","21","frc1123","frc2914","frc2964","0","frc2363","frc2377","frc612","5"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm22","qm","1","22","frc1024","frc3373","frc623","5","frc1885","frc2819","frc768","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm23","qm","1","23","frc2641","frc3246","frc346","4","frc1708","frc207","frc339","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm24","qm","1","24","frc2010","frc2068","frc3150","2","frc1446","frc3283","frc3340","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm25","qm","1","25","frc1712","frc1849","frc701","1","frc1900","frc2962","frc48","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm26","qm","1","26","frc116","frc176","frc2534","0","frc1370","frc2912","frc3298","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm27","qm","1","27","frc1418","frc1529","frc2961","0","frc2421","frc2900","frc3279","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm28","qm","1","28","frc1915","frc2913","frc2963","1","frc45","frc611","frc614","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm29","qm","1","29","frc2911","frc3154","frc449","1","frc1727","frc1829","frc3208","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm30","qm","1","30","frc1111","frc2537","frc339","4","frc2121","frc2819","frc3150","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm31","qm","1","31","frc1446","frc2363","frc3298","2","frc1024","frc1900","frc2641","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm32","qm","1","32","frc1123","frc2010","frc623","1","frc1849","frc207","frc2912","4"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm33","qm","1","33","frc45","frc612","frc701","0","frc1370","frc2534","frc2961","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm34","qm","1","34","frc2377","frc2913","frc449","3","frc116","frc1529","frc2900","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm35","qm","1","35","frc3279","frc48","frc768","3","frc1708","frc2068","frc3208","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm36","qm","1","36","frc2421","frc3246","frc3283","2","frc2911","frc2914","frc614","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm37","qm","1","37","frc1111","frc3154","frc3340","5","frc2962","frc3373","frc346","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm38","qm","1","38","frc1418","frc1829","frc620","0","frc1885","frc2537","frc611","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm39","qm","1","39","frc1727","frc176","frc3123","4","frc1712","frc2963","frc2964","4"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm40","qm","1","40","frc2121","frc2363","frc3279","1","frc1370","frc1915","frc207","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm41","qm","1","41","frc1708","frc2911","frc623","0","frc2377","frc2961","frc3298","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm42","qm","1","42","frc1900","frc2912","frc3208","0","frc1111","frc1123","frc3373","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm43","qm","1","43","frc2900","frc346","frc614","4","frc1885","frc2068","frc45","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm44","qm","1","44","frc1024","frc1829","frc2537","1","frc2010","frc2534","frc2962","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm45","qm","1","45","frc1712","frc2421","frc3150","1","frc1849","frc2964","frc3154","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm46","qm","1","46","frc2121","frc2963","frc449","0","frc1418","frc3246","frc612","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm47","qm","1","47","frc176","frc2819","frc3340","1","frc2913","frc2914","frc768","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm48","qm","1","48","frc1727","frc3283","frc701","7","frc2641","frc3123","frc611","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm49","qm","1","49","frc1446","frc1915","frc48","0","frc1529","frc339","frc620","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm50","qm","1","50","frc116","frc2068","frc2537","0","frc1708","frc1900","frc2421","0"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm51","qm","1","51","frc2964","frc3246","frc45","3","frc1829","frc3279","frc3373","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm52","qm","1","52","frc1712","frc1885","frc2912","4","frc2363","frc2914","frc449","1"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm53","qm","1","53","frc2377","frc2534","frc768","5","frc3154","frc3283","frc346","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm54","qm","1","54","frc1418","frc1727","frc3298","6","frc1123","frc3340","frc620","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm55","qm","1","55","frc2961","frc3123","frc48","0","frc1111","frc2010","frc2913","3"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm56","qm","1","56","frc1915","frc2962","frc3150","0","frc2641","frc2963","frc612","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm57","qm","1","57","frc1529","frc3208","frc611","0","frc176","frc2121","frc623","2"
"2010dc","Washington DC","2010-03-04","2010-03-06","2010dc_qm58","qm","1","58","frc1024","frc1370","frc2911","1","frc1849","frc2900","frc339","3"
