"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm1","qm","1","1","red","frc3472","frc4584","frc6483","frc3794","frc6156","frc7102"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm2","qm","1","2","blue","frc5133","frc5696","frc6652","frc3354","frc3522","frc6017"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm3","qm","1","3","red","frc3478","frc4010","frc5948","frc6647","frc6666","frc6676"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm4","qm","1","4","red","frc3510","frc6106","frc6218","frc4731","frc4782","frc6407"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm5","qm","1","5","blue","frc4746","frc5344","frc5932","frc3158","frc4635","frc6348"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm6","qm","1","6","blue","frc4775","frc6170","frc6694","frc3526","frc5887","frc6507"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm7","qm","1","7","red","frc4401","frc5716","frc6820","frc5874","frc6200","frc6319"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm8","qm","1","8","blue","frc3527","frc6605","frc6965","frc3933","frc6010","frc6983"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm9","qm","1","9","red","frc4782","frc5948","frc6483","frc5344","frc5696","frc6017"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm10","qm","1","10","red","frc3478","frc3526","frc4746","frc3472","frc6106","frc6507"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm11","qm","1","11","red","frc3522","frc6652","frc6820","frc4010","frc5716","frc7102"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm12","qm","1","12","red","frc4775","frc5133","frc5932","frc6170","frc6647","frc6983"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm13","qm","1","13","red","frc3510","frc6156","frc6319","frc6407","frc6605","frc6666"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm14","qm","1","14","blue","frc4401","frc4635","frc5887","frc3354","frc3933","frc6965"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm15","qm","1","15","blue","frc4584","frc6200","frc6676","frc3158","frc6010","frc6694"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm16","qm","1","16","red","frc4731","frc6218","frc6348","frc3527","frc3794","frc5874"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm17","qm","1","17","red","frc3522","frc6170","frc6666","frc4746","frc6605","frc6820"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm18","qm","1","18","blue","frc4010","frc6407","frc6483","frc3354","frc4401","frc5948"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm19","qm","1","19","red","frc5133","frc6106","frc6647","frc4635","frc5932","frc6156"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm20","qm","1","20","red","frc5716","frc5874","frc6694","frc3472","frc5887","frc6017"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm21","qm","1","21","blue","frc3933","frc4731","frc6319","frc3510","frc6348","frc6676"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm22","qm","1","22","blue","frc3158","frc6218","frc7102","frc3526","frc5696","frc6965"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm23","qm","1","23","red","frc3527","frc6200","frc6507","frc4584","frc4782","frc6652"
"2018mxmo","Monterrey","2018-02-28","2018-03-03","2018mxmo_qm24","qm","1","24","blue","frc3794","frc5344","frc6010","frc3478","frc4775","frc6983"
