"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm1","qm","1","1","red","frc3309","frc4481","frc5669","frc3250","frc3473","frc7524"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm2","qm","1","2","blue","frc4619","frc5012","frc6220","frc2493","frc7447","frc812"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm3","qm","1","3","red","frc330","frc3952","frc6072","frc5802","frc5966","frc7230"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm4","qm","1","4","red","frc3859","frc4079","frc5851","frc3295","frc4161","frc841"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm5","qm","1","5","blue","frc2496","frc5500","frc6499","frc1160","frc159","frc973"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm6","qm","1","6","blue","frc4201","frc597","frc7482","frc294","frc4056","frc4763"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm7","qm","1","7","blue","frc4114","frc5835","frc7157","frc3953","frc4276","frc6535"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm8","qm","1","8","red","frc1515","frc1836","frc5805","frc3759","frc5810","frc6692"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm9","qm","1","9","red","frc2493","frc4913","frc5500","frc159","frc3295","frc3952"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm10","qm","1","10","red","frc5851","frc597","frc7447","frc1160","frc3250","frc6072"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm11","qm","1","11","red","frc4201","frc5012","frc6499","frc4114","frc4161","frc5802"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm12","qm","1","12","blue","frc4763","frc6220","frc6692","frc3473","frc4079","frc4276"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm13","qm","1","13","blue","frc2496","frc3309","frc7157","frc1836","frc330","frc4913"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm14","qm","1","14","blue","frc4481","frc5835","frc6535","frc1515","frc4619","frc973"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm15","qm","1","15","red","frc4056","frc7230","frc841","frc3759","frc5805","frc7524"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm16","qm","1","16","red","frc3859","frc5669","frc5966","frc5810","frc7482","frc812"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm17","qm","1","17","blue","frc1836","frc3473","frc3953","frc159","frc294","frc5012"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm18","qm","1","18","","frc4913","frc597","frc973","frc4201","frc4619","frc5851"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm19","qm","1","19","red","frc2493","frc4161","frc6692","frc4056","frc6072","frc7157"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm20","qm","1","20","red","frc5500","frc5810","frc7447","frc4114","frc4763","frc6499"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm21","qm","1","21","blue","frc7482","frc7524","frc841","frc3295","frc330","frc5835"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm22","qm","1","22","blue","frc3952","frc5966","frc6535","frc1160","frc3309","frc6220"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm23","qm","1","23","blue","frc3953","frc5805","frc812","frc4276","frc4481","frc5802"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm24","qm","1","24","red","frc294","frc4079","frc5669","frc2496","frc3759","frc7230"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm25","qm","1","25","red","frc1515","frc3250","frc330","frc3859","frc4056","frc973"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm26","qm","1","26","red","frc3295","frc3473","frc7157","frc4619","frc5810","frc6499"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm27","qm","1","27","blue","frc159","frc5805","frc5835","frc4161","frc4201","frc7447"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm28","qm","1","28","blue","frc4276","frc5669","frc5851","frc3952","frc4481","frc5500"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm29","qm","1","29","red","frc6072","frc6220","frc7524","frc2496","frc3953","frc5012"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm30","qm","1","30","blue","frc3859","frc597","frc812","frc1836","frc2493","frc4114"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm31","qm","1","31","red","frc1515","frc294","frc7230","frc1160","frc4763","frc4913"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm32","qm","1","32","blue","frc5802","frc6535","frc6692","frc4079","frc5966","frc7482"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm33","qm","1","33","blue","frc3759","frc4619","frc841","frc3250","frc3309","frc4276"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm34","qm","1","34","red","frc1836","frc3295","frc6220","frc4056","frc4201","frc5835"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm35","qm","1","35","red","frc4481","frc7157","frc7447","frc3859","frc3952","frc7230"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm36","qm","1","36","red","frc4161","frc6499","frc7482","frc2493","frc2496","frc7524"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm37","qm","1","37","red","frc159","frc4913","frc6072","frc4114","frc5669","frc5805"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm38","qm","1","38","blue","frc1160","frc5810","frc597","frc3250","frc5012","frc6692"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm39","qm","1","39","blue","frc4079","frc5500","frc812","frc1515","frc3309","frc3473"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm40","qm","1","40","blue","frc294","frc3953","frc5802","frc5851","frc6535","frc841"
"2019caoc","Orange County","2019-02-27","2019-03-02","2019caoc_qm41","qm","1","41","red","frc3759","frc4763","frc973","frc330","frc5966","frc6220"
