"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm40","qm","1","40","frc1827","frc2410","frc967","2","frc1984","frc2996","frc938","4"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm41","qm","1","41","frc1737","frc1775","frc1982","40","frc1730","frc2164","frc2874","3"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm42","qm","1","42","frc2972","frc3798","frc662","6","frc1723","frc1769","frc1802","42"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm43","qm","1","43","frc1806","frc1825","frc2335","15","frc1108","frc1782","frc4208","18"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm44","qm","1","44","frc1763","frc1997","frc2353","12","frc1448","frc1777","frc2001","28"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm45","qm","1","45","frc1208","frc2357","frc938","37","frc2167","frc2345","frc2395","27"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm46","qm","1","46","frc1785","frc2410","frc2874","2","frc1939","frc2004","frc2346","9"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm47","qm","1","47","frc1737","frc1847","frc3931","0","frc1094","frc1810","frc2457","15"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm48","qm","1","48","frc1827","frc2335","frc3764","0","frc1986","frc1987","frc2949","72"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm49","qm","1","49","frc1108","frc2996","frc931","30","frc1802","frc1982","frc3528","44"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm50","qm","1","50","frc1769","frc2164","frc4208","11","frc16","frc3284","frc935","34"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm51","qm","1","51","frc1652","frc3784","frc662","9","frc1984","frc525","frc967","34"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm52","qm","1","52","frc1730","frc1764","frc2560","25","frc1723","frc3485","frc3973","0"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm53","qm","1","53","frc3507","frc3798","frc937","14","frc1806","frc1985","frc1994","2"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm54","qm","1","54","frc1775","frc1847","frc2949","25","frc2346","frc2972","frc2996","5"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm55","qm","1","55","frc1448","frc2167","frc3764","9","frc1782","frc1785","frc3931","0"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm56","qm","1","56","frc1986","frc1997","frc2164","42","frc2353","frc2410","frc3784","0"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm57","qm","1","57","frc1763","frc1939","frc662","0","frc1208","frc1730","frc1810","36"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm58","qm","1","58","frc1769","frc1987","frc2001","9","frc1806","frc1982","frc2560","19"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm59","qm","1","59","frc1764","frc2874","frc935","26","frc1777","frc2335","frc2395","12"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm60","qm","1","60","frc1652","frc3284","frc3973","14","frc931","frc937","frc938","3"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm61","qm","1","61","frc1108","frc16","frc2004","39","frc1723","frc3798","frc967","35"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm62","qm","1","62","frc1094","frc2357","frc3485","8","frc1827","frc1994","frc2972","0"
