"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","winning_alliance","red1","red2","red3","blue1","blue2","blue3"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm1","qm","1","1","red","frc212","frc61","","frc588","frc79",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm2","qm","1","2","blue","frc278","frc415","","frc311","frc832",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm3","qm","1","3","blue","frc86","frc946","","frc780","frc945",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm4","qm","1","4","red","frc386","frc804","","frc393","frc411",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm5","qm","1","5","red","frc547","frc654","","frc395","frc538",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm6","qm","1","6","red","frc179","frc710","","frc866","frc947",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm7","qm","1","7","blue","frc459","frc665","","frc180","frc59",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm8","qm","1","8","red","frc105","frc267","","frc147","frc582",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm9","qm","1","9","red","frc21","frc233","","frc312","frc801",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm10","qm","1","10","red","frc108","frc186","","frc408","frc685",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm11","qm","1","11","blue","frc690","frc901","","frc342","frc343",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm12","qm","1","12","blue","frc212","frc507","","frc168","frc57",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm13","qm","1","13","blue","frc415","frc780","","frc411","frc61",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm14","qm","1","14","blue","frc393","frc86","","frc278","frc395",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm15","qm","1","15","red","frc538","frc804","","frc866","frc946",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm16","qm","1","16","blue","frc547","frc947","","frc180","frc386",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm17","qm","1","17","red","frc59","frc710","","frc582","frc654",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm18","qm","1","18","red","frc147","frc459","","frc179","frc801",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm19","qm","1","19","red","frc105","frc312","","frc665","frc685",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm20","qm","1","20","blue","frc21","frc408","","frc267","frc342",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm21","qm","1","21","blue","frc108","frc343","","frc168","frc233",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm22","qm","1","22","blue","frc57","frc690","","frc186","frc588",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm23","qm","1","23","","frc507","frc79","","frc832","frc901",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm24","qm","1","24","blue","frc311","frc393","","frc415","frc945",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm25","qm","1","25","red","frc180","frc538","","frc61","frc86",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm26","qm","1","26","blue","frc582","frc947","","frc278","frc804",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm27","qm","1","27","blue","frc59","frc801","","frc547","frc946",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm28","qm","1","28","red","frc147","frc685","","frc386","frc710",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm29","qm","1","29","red","frc312","frc342","","frc459","frc654",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm30","qm","1","30","blue","frc168","frc408","","frc105","frc179",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm31","qm","1","31","blue","frc343","frc588","","frc21","frc665",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm32","qm","1","32","red","frc57","frc832","","frc108","frc267",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm33","qm","1","33","blue","frc79","frc945","","frc233","frc690",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm34","qm","1","34","red","frc311","frc411","","frc186","frc507",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm35","qm","1","35","red","frc395","frc780","","frc212","frc901",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm36","qm","1","36","blue","frc801","frc866","","frc86","frc947",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm37","qm","1","37","red","frc61","frc685","","frc59","frc804",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm38","qm","1","38","red","frc278","frc342","","frc147","frc547",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm39","qm","1","39","blue","frc168","frc946","","frc312","frc710",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm40","qm","1","40","red","frc386","frc588","","frc408","frc459",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm41","qm","1","41","blue","frc654","frc832","","frc105","frc343",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm42","qm","1","42","red","frc179","frc945","","frc21","frc57",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm43","qm","1","43","red","frc411","frc665","","frc108","frc79",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm44","qm","1","44","red","frc267","frc395","","frc311","frc690",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm45","qm","1","45","red","frc233","frc866","","frc507","frc780",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm46","qm","1","46","red","frc180","frc186","","frc212","frc393",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm47","qm","1","47","blue","frc582","frc901","","frc415","frc538",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm48","qm","1","48","red","frc547","frc61","","frc312","frc588",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm49","qm","1","49","red","frc278","frc710","","frc408","frc832",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm50","qm","1","50","blue","frc459","frc946","","frc343","frc945",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm51","qm","1","51","blue","frc105","frc386","","frc411","frc57",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm52","qm","1","52","red","frc21","frc654","","frc395","frc79",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm53","qm","1","53","red","frc108","frc179","","frc311","frc866",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm54","qm","1","54","blue","frc665","frc690","","frc180","frc780",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm55","qm","1","55","red","frc267","frc507","","frc393","frc582",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm56","qm","1","56","red","frc212","frc233","","frc538","frc801",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm57","qm","1","57","red","frc186","frc415","","frc685","frc947",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm58","qm","1","58","red","frc86","frc901","","frc342","frc59",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm59","qm","1","59","red","frc547","frc804","","frc147","frc168",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm60","qm","1","60","blue","frc343","frc710","","frc411","frc61",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm61","qm","1","61","blue","frc459","frc57","","frc278","frc395",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm62","qm","1","62","red","frc105","frc79","","frc866","frc946",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm63","qm","1","63","blue","frc21","frc311","","frc180","frc386",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm64","qm","1","64","red","frc108","frc780","","frc582","frc654",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm65","qm","1","65","red","frc393","frc690","","frc179","frc801",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm66","qm","1","66","red","frc507","frc538","","frc665","frc685",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm67","qm","1","67","blue","frc212","frc947","","frc267","frc342",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm68","qm","1","68","blue","frc415","frc59","","frc168","frc233",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm69","qm","1","69","red","frc147","frc86","","frc186","frc588",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm70","qm","1","70","red","frc312","frc804","","frc832","frc901",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm71","qm","1","71","blue","frc408","frc57","","frc710","frc945",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm72","qm","1","72","red","frc180","frc79","","frc459","frc61",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm73","qm","1","73","blue","frc311","frc582","","frc105","frc278",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm74","qm","1","74","red","frc780","frc801","","frc21","frc946",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm75","qm","1","75","blue","frc393","frc685","","frc108","frc386",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm76","qm","1","76","red","frc342","frc538","","frc654","frc690",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm77","qm","1","77","red","frc168","frc947","","frc179","frc507",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm78","qm","1","78","red","frc588","frc59","","frc212","frc665",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm79","qm","1","79","blue","frc147","frc832","","frc267","frc415",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm80","qm","1","80","red","frc312","frc945","","frc233","frc86",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm81","qm","1","81","blue","frc408","frc411","","frc186","frc804",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm82","qm","1","82","blue","frc343","frc395","","frc547","frc901",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm83","qm","1","83","blue","frc801","frc866","","frc311","frc459",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm84","qm","1","84","red","frc61","frc685","","frc105","frc780",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm85","qm","1","85","red","frc278","frc342","","frc21","frc393",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm86","qm","1","86","red","frc168","frc946","","frc108","frc538",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm87","qm","1","87","red","frc386","frc588","","frc690","frc947",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm88","qm","1","88","blue","frc654","frc832","","frc507","frc59",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm89","qm","1","89","blue","frc179","frc945","","frc147","frc212",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm90","qm","1","90","blue","frc411","frc665","","frc312","frc415",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm91","qm","1","91","red","frc267","frc395","","frc408","frc86",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm92","qm","1","92","blue","frc233","frc866","","frc343","frc804",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm93","qm","1","93","red","frc180","frc186","","frc547","frc57",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm94","qm","1","94","blue","frc582","frc901","","frc710","frc79",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm95","qm","1","95","red","frc21","frc61","","frc538","frc588",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm96","qm","1","96","blue","frc108","frc278","","frc832","frc947",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm97","qm","1","97","blue","frc690","frc946","","frc59","frc945",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm98","qm","1","98","","frc386","frc507","","frc147","frc411",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm99","qm","1","99","red","frc212","frc654","","frc312","frc395",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm100","qm","1","100","red","frc179","frc415","","frc408","frc866",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm101","qm","1","101","red","frc665","frc86","","frc180","frc343",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm102","qm","1","102","red","frc267","frc804","","frc57","frc582",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm103","qm","1","103","blue","frc233","frc547","","frc79","frc801",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm104","qm","1","104","red","frc186","frc710","","frc311","frc685",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm105","qm","1","105","blue","frc459","frc901","","frc342","frc780",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qm106","qm","1","106","red","frc105","frc21","","frc168","frc393",""
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf1m1","qf","1","1","red","frc312","frc665","frc945","frc105","frc278","frc393"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf1m2","qf","1","2","red","frc312","frc665","frc945","frc105","frc278","frc393"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf2m1","qf","2","1","red","frc108","frc386","frc507","frc179","frc57","frc804"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf2m2","qf","2","2","red","frc108","frc386","frc507","frc179","frc57","frc804"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf3m1","qf","3","1","blue","frc267","frc311","frc342","frc411","frc61","frc79"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf3m2","qf","3","2","red","frc267","frc311","frc342","frc411","frc61","frc79"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf3m3","qf","3","3","red","frc267","frc311","frc342","frc411","frc61","frc79"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf4m1","qf","4","1","red","frc180","frc186","frc343","frc233","frc415","frc59"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_qf4m2","qf","4","2","red","frc180","frc186","frc343","frc233","frc415","frc59"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_sf1m1","sf","1","1","red","frc312","frc665","frc945","frc108","frc386","frc507"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_sf1m2","sf","1","2","red","frc312","frc665","frc945","frc108","frc386","frc507"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_sf2m1","sf","2","1","blue","frc267","frc311","frc342","frc180","frc186","frc343"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_sf2m2","sf","2","2","","frc267","frc311","frc342","frc180","frc186","frc343"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_sf2m3","sf","2","3","blue","frc267","frc311","frc342","frc180","frc186","frc343"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_f1m1","f","1","1","","frc312","frc665","frc945","frc180","frc186","frc343"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_f1m2","f","1","2","blue","frc312","frc665","frc945","frc180","frc186","frc343"
"2002fl","NASA KSC Southeast","2002-03-07","2002-03-09","2002fl_f1m3","f","1","3","blue","frc312","frc665","frc945","frc180","frc186","frc343"
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm1","qm","1","1","red","frc449","frc926","","frc623","frc686",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm2","qm","1","2","blue","frc602","frc900","","frc769","frc975",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm3","qm","1","3","blue","frc316","frc617","","frc414","frc614",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm4","qm","1","4","blue","frc615","frc619","","frc638","frc836",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm5","qm","1","5","red","frc190","frc620","","frc116","frc905",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm6","qm","1","6","red","frc400","frc612","","frc611","frc976",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm7","qm","1","7","blue","frc287","frc928","","frc497","frc925",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm8","qm","1","8","blue","frc616","frc927","","frc510","frc600",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm9","qm","1","9","red","frc272","frc384","","frc337","frc422",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm10","qm","1","10","blue","frc339","frc977","","frc398","frc839",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm11","qm","1","11","red","frc405","frc643","","frc365","frc435",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm12","qm","1","12","red","frc281","frc845","","frc540","frc622",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm13","qm","1","13","blue","frc225","frc7","","frc404","frc87",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm14","qm","1","14","red","frc341","frc346","","frc53","frc539",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm15","qm","1","15","blue","frc401","frc768","","frc284","frc448",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm16","qm","1","16","","frc587","frc837","","frc345","frc825",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm17","qm","1","17","red","frc122","frc449","","frc414","frc416",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm18","qm","1","18","red","frc614","frc900","","frc638","frc926",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm19","qm","1","19","red","frc617","frc836","","frc116","frc602",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm20","qm","1","20","blue","frc619","frc905","","frc316","frc976",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm21","qm","1","21","red","frc611","frc620","","frc615","frc925",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm22","qm","1","22","red","frc400","frc497","","frc190","frc600",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm23","qm","1","23","blue","frc287","frc510","","frc422","frc612",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm24","qm","1","24","blue","frc337","frc927","","frc398","frc928",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm25","qm","1","25","","frc384","frc839","","frc435","frc616",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm26","qm","1","26","red","frc365","frc977","","frc272","frc622",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm27","qm","1","27","blue","frc405","frc540","","frc339","frc404",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm28","qm","1","28","red","frc281","frc87","","frc539","frc643",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm29","qm","1","29","blue","frc225","frc53","","frc448","frc845",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm30","qm","1","30","blue","frc284","frc346","","frc345","frc7",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm31","qm","1","31","","frc401","frc825","","frc341","frc416",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm32","qm","1","32","blue","frc587","frc623","","frc686","frc768",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm33","qm","1","33","red","frc122","frc975","","frc769","frc837",""
"2002va","NASA Langley / VCU","2002-03-07","2002-03-09","2002va_qm34","qm","1","34","blue","frc905","frc925","","frc617","frc926",""
